x,z,yaw,pitch,roll,action
406.0,19.0,-2.487548,-0.226542,1.117573,Neutral
243.0,101.0,-2.417271,-0.241389,1.124616,Neutral
179.0,348.0,-2.332343,-0.276597,1.146201,Neutral
55.0,501.0,-2.282754,-0.367485,1.18983,Neutral
127.0,475.0,-2.218977,-0.423517,1.211782,Neutral
123.0,622.0,-2.176594,-0.500834,1.227049,Neutral
269.0,464.0,-2.127556,-0.535983,1.241529,Neutral
283.0,332.0,-2.092453,-0.54338,1.248435,Neutral
413.0,288.0,-2.058039,-0.522754,1.247813,Neutral
465.0,170.0,-2.044473,-0.47419,1.246774,Neutral
471.0,84.0,-2.024124,-0.439506,1.239097,Neutral
641.0,112.0,-2.010338,-0.391158,1.217172,Neutral
483.0,248.0,-1.989519,-0.370205,1.223749,Neutral
499.0,327.0,-1.961431,-0.356445,1.223441,Neutral
321.0,379.0,-1.905644,-0.363497,1.237466,Neutral
302.0,433.0,-1.87087,-0.357345,1.223195,Neutral
220.0,367.0,-1.822232,-0.343849,1.215869,Neutral
202.0,379.0,-1.780422,-0.316398,1.215283,Neutral
154.0,205.0,-1.732018,-0.282299,1.186581,Neutral
222.0,234.0,-1.75311,-0.233963,1.178732,Neutral
416.0,372.0,-1.795593,-0.212231,1.213414,Neutral
396.0,295.0,-1.817283,-0.155512,1.233584,Neutral
394.0,27.0,-1.832398,-0.092795,1.204637,Neutral
390.0,23.0,-1.832964,0.011462,1.154018,Neutral
294.0,-70.0,-1.833594,0.067181,1.139138,Neutral
258.0,161.0,-1.826827,0.130341,1.152118,Neutral
330.0,265.0,-1.848581,0.151583,1.172772,Neutral
146.0,307.0,-1.85592,0.194105,1.193117,Neutral
230.0,147.0,-1.863251,0.228918,1.178553,Neutral
144.0,311.0,-1.870489,0.263729,1.163985,Neutral
218.0,431.0,-1.905897,0.28512,1.184607,Neutral
158.0,371.0,-1.927459,0.321256,1.232887,Neutral
-50.0,57.0,-1.935453,0.370899,1.259978,Neutral
125.0,63.0,-1.908267,0.461883,1.25843,Neutral
222.0,-88.0,-1.902421,0.531507,1.257393,Neutral
131.0,-191.0,-1.909977,0.61615,1.305001,Neutral
135.0,-53.0,-1.938267,0.651769,1.339351,Neutral
87.0,20.0,-1.945304,0.666663,1.373919,Neutral
59.0,144.0,-1.952256,0.660222,1.401966,Neutral
74.0,212.0,-1.938344,0.640154,1.451228,Neutral
96.0,278.0,-1.932331,0.633569,1.48639,Neutral
42.0,58.0,-1.925902,0.669066,1.520905,Neutral
16.0,-87.0,-1.940817,0.710931,1.520253,Neutral
156.0,-177.0,-1.96941,0.781042,1.518996,Neutral
322.0,31.0,-2.011814,0.816846,1.546181,Neutral
48.0,78.0,-2.06092,0.845618,1.559376,Neutral
147.0,118.0,-2.123496,0.853518,1.572865,Neutral
-80.0,84.0,-2.13698,0.840006,1.551657,Neutral
-262.0,-15.0,-2.108284,0.818574,1.516971,Neutral
-415.0,15.0,-2.072774,0.782358,1.46886,Neutral
-347.0,48.0,-2.036946,0.746577,1.448751,Neutral
-309.0,38.0,-2.043481,0.669588,1.471317,Neutral
-373.0,24.0,-2.09878,0.621468,1.514095,Neutral
-267.0,-20.0,-2.147437,0.579993,1.500553,Neutral
-35.0,91.0,-2.231304,0.566255,1.479574,Neutral
93.0,-157.0,-2.294548,0.573918,1.458025,Neutral
185.0,-459.0,-2.378931,0.602681,1.45714,Neutral
133.0,-540.0,-2.414618,0.672078,1.378322,Neutral
124.0,-564.0,-2.463438,0.720317,1.321227,Neutral
24.0,-458.0,-2.497961,0.733817,1.27166,Neutral
6.0,-155.0,-2.538965,0.712468,1.236916,Neutral
-27.0,68.0,-2.566197,0.629009,1.23849,Neutral
-56.0,278.0,-2.600123,0.559697,1.253869,Neutral
-124.0,329.0,-2.627679,0.469178,1.25574,Neutral
-90.0,387.0,-2.697297,0.434521,1.256416,Neutral
-12.0,385.0,-2.788217,0.414306,1.256624,Neutral
-10.0,438.0,-2.984945,0.422794,1.277077,Neutral
18.0,449.0,-3.125963,0.475194,1.324048,Neutral
-112.0,434.0,-3.406976,0.540505,1.349763,Neutral
-391.0,498.0,-3.666397,0.629336,1.401877,Neutral
-231.0,920.0,-4.136231,0.662678,1.469454,Neutral
-410.0,468.0,-4.45165,0.679217,1.564399,Neutral
-2141.0,249.0,-4.82016,0.697506,1.562016,Neutral
-459.0,236.0,-4.913652,0.538032,1.475625,Neutral
-412.0,574.0,-5.239221,0.230933,1.46731,Neutral
-745.0,594.0,-5.504068,-0.071351,1.347633,Neutral
-648.0,254.0,-5.839846,-0.150441,1.239658,Neutral
-338.0,-233.0,-6.105905,-0.375117,1.020694,Neutral
-629.0,-1501.0,-6.595141,-0.603512,0.634593,Neutral
-1129.0,-1901.0,-6.808257,-0.806347,-0.254833,Neutral
-204.0,-890.0,-6.966382,-0.788627,-0.772962,Neutral
1090.0,-1085.0,-7.19159,-0.881539,-1.361997,Neutral
2475.0,-1782.0,-7.711166,-0.829303,-1.48994,Neutral
3762.0,-1923.0,-7.943728,-0.464849,-1.489967,Neutral
4525.0,-2731.0,-8.171937,-0.089056,-1.585361,Neutral
4255.0,-3574.0,-8.323042,0.743916,-2.339571,Neutral
2279.0,-4440.0,-8.60246,1.421351,-3.092595,Neutral
-467.0,-3570.0,-8.810782,2.413257,-4.220768,Neutral
-3352.0,-1185.0,-9.58765,2.808642,-4.616723,Neutral
-4129.0,-1740.0,-10.279996,2.70481,-3.693373,Neutral
-6092.0,-2043.0,-10.783977,2.547203,-2.430419,Neutral
-6036.0,-1486.0,-10.73729,2.361327,-1.404526,Neutral
-6554.0,-451.0,-10.597638,2.04364,-0.979547,Neutral
-7197.0,200.0,-10.443426,1.311868,0.208595,Neutral
-5328.0,2270.0,-9.863503,0.695813,1.31316,Neutral
-2322.0,4489.0,-9.348814,-0.389334,3.53045,Neutral
3426.0,6212.0,-8.995719,-1.030728,5.527131,Neutral
5175.0,5732.0,-9.230391,-1.543228,8.928812,Neutral
3404.0,3107.0,-10.185637,-1.290517,10.20108,Neutral
3575.0,2655.0,-10.67219,-0.684642,9.611405,Neutral
3429.0,2741.0,-11.171295,-0.615007,8.546656,Neutral
2158.0,2962.0,-11.730609,-0.764197,7.532102,Neutral
-590.0,3433.0,-12.467304,-0.997424,7.296491,Neutral
-2912.0,4026.0,-12.962996,-1.509644,7.062973,Neutral
-5087.0,4295.0,-13.959724,-1.884232,7.082855,Neutral
-5966.0,4262.0,-14.635007,-2.292646,7.867548,Neutral
-7130.0,3268.0,-15.476716,-2.306135,8.321305,Neutral
-7312.0,1875.0,-15.80386,-1.971913,8.13526,Neutral
-7669.0,118.0,-15.851353,-1.568746,7.510968,Neutral
-6657.0,-229.0,-15.690104,-0.798529,5.68745,Neutral
-3017.0,-716.0,-15.374024,-0.415367,4.196179,Neutral
538.0,-859.0,-15.259657,-0.199171,2.391549,Neutral
3403.0,-1082.0,-15.980202,-0.046957,1.650562,Neutral
4224.0,-1674.0,-17.165035,0.363693,1.736005,Neutral
5970.0,-2081.0,-19.06674,0.500233,2.471219,Neutral
6487.0,-3046.0,-19.815857,0.568206,2.876557,Neutral
4394.0,-4061.0,-19.189318,0.900774,2.150533,Neutral
1725.0,-3664.0,-17.796354,2.008671,-0.580937,Neutral
-2432.0,-3406.0,-15.461738,2.892516,-3.127275,Neutral
-5357.0,-2755.0,-14.589901,3.882456,-6.183643,Neutral
-8433.0,-1262.0,-14.577868,4.003792,-6.959193,Neutral
-8784.0,-356.0,-15.014184,3.2492,-5.925879,Neutral
-9188.0,415.0,-15.412897,2.352033,-4.281348,Neutral
-8965.0,706.0,-15.195194,0.92944,-1.735411,Neutral
-7580.0,1628.0,-13.81316,0.098881,-0.634161,Neutral
-5282.0,2535.0,-12.415036,-0.937196,0.289684,Neutral
-110.0,5059.0,-10.138088,-1.545881,0.794621,Neutral
5691.0,5669.0,-8.812583,-2.476239,1.921163,Neutral
6032.0,4545.0,-8.928176,-2.919189,2.966131,Neutral
4860.0,3812.0,-10.181911,-2.731535,3.171955,Neutral
6857.0,5100.0,-11.969906,-2.74036,2.797434,Neutral
6535.0,4512.0,-13.16171,-3.315302,3.301761,Neutral
2157.0,2815.0,-14.168604,-3.603217,3.586501,Neutral
-993.0,2734.0,-14.194104,-3.725237,2.739403,Neutral
-4013.0,3281.0,-14.274863,-3.851388,2.013786,Neutral
-4428.0,2672.0,-14.74883,-4.283578,1.880849,Neutral
-6395.0,402.0,-15.524771,-4.561398,2.410888,Neutral
-7038.0,-472.0,-15.552768,-4.556749,2.86895,Neutral
-7062.0,-877.0,-14.824591,-4.494576,2.54933,Neutral
-6338.0,-291.0,-14.012145,-4.58566,1.248405,Neutral
-2497.0,473.0,-12.597045,-4.755898,0.188492,Neutral
736.0,2054.0,-11.59454,-5.141373,-1.192614,Neutral
5537.0,2285.0,-11.021501,-5.356106,-1.73823,Neutral
5423.0,923.0,-11.876702,-5.532806,-1.719653,Neutral
8240.0,-1101.0,-13.652728,-5.663338,-1.800859,Neutral
10536.0,-1072.0,-14.027647,-6.162443,-2.502193,Neutral
8409.0,-1991.0,-13.277998,-6.067068,-3.153444,Neutral
5870.0,-1984.0,-12.061987,-5.008647,-5.172701,Neutral
1134.0,-2136.0,-9.933054,-4.07625,-7.293898,Neutral
-2645.0,-1706.0,-8.841135,-2.645576,-10.062622,Neutral
-6497.0,347.0,-8.194611,-2.093277,-10.84562,Neutral
-8610.0,2039.0,-8.312151,-2.43462,-10.069842,Neutral
-10326.0,3932.0,-8.855977,-3.342578,-8.580648,Neutral
-9866.0,4843.0,-9.052197,-5.348286,-6.221318,Neutral
-7043.0,5227.0,-8.644804,-6.775109,-5.200282,Neutral
-4207.0,5408.0,-7.700983,-8.220442,-4.404974,Neutral
3266.0,6124.0,-5.682413,-8.397799,-4.056771,Neutral
9242.0,6729.0,-4.418834,-7.951411,-3.459718,Neutral
9362.0,4228.0,-4.875732,-7.195268,-2.598722,Neutral
8516.0,2615.0,-6.603582,-5.725896,-0.939439,Neutral
11748.0,4117.0,-7.908837,-5.346647,-0.233699,Neutral
11788.0,4689.0,-7.889486,-5.41065,0.96653,Neutral
7537.0,3998.0,-7.115404,-5.165733,1.061145,Neutral
3667.0,3183.0,-6.299908,-4.240722,-0.22844,Neutral
-2109.0,2221.0,-5.580451,-3.521925,-0.992666,Neutral
-4889.0,2090.0,-5.557585,-2.807526,-0.999221,Neutral
-8031.0,2462.0,-5.716764,-2.808925,-0.593001,Neutral
-9190.0,2660.0,-5.939942,-3.303332,0.193034,Neutral
-9731.0,2425.0,-6.311014,-3.908775,0.540027,Neutral
-9636.0,1995.0,-6.494472,-4.935218,0.722642,Neutral
-5875.0,1578.0,-6.610913,-5.534955,0.645452,Neutral
-1181.0,2186.0,-6.418326,-6.477152,0.120211,Neutral
7088.0,3714.0,-5.763973,-6.977654,-0.442549,Neutral
11661.0,3516.0,-5.729568,-7.171648,-1.356852,Neutral
11745.0,582.0,-7.887461,-6.898821,-1.385509,Neutral
11152.0,-603.0,-9.921957,-6.311323,-0.701718,Neutral
13694.0,600.0,-10.81851,-5.909168,-0.355829,Neutral
11011.0,252.0,-10.298276,-4.829553,-0.318564,Neutral
5011.0,-134.0,-8.839908,-3.60968,-1.173996,Neutral
1158.0,-378.0,-7.856878,-1.752299,-2.812705,Neutral
-4570.0,478.0,-6.871211,-0.879361,-3.424916,Neutral
-7330.0,1036.0,-6.419153,-0.249503,-3.222563,Neutral
-9765.0,1861.0,-5.859591,-0.265895,-2.619411,Neutral
-10705.0,1967.0,-5.62447,-0.743279,-1.664026,Neutral
-11380.0,2622.0,-5.550079,-1.229436,-1.081396,Neutral
-10098.0,2951.0,-5.616566,-2.181068,0.224875,Neutral
-8203.0,2929.0,-5.813593,-2.970322,1.261111,Neutral
-6851.0,2764.0,-5.8052,-4.04691,2.475152,Neutral
1153.0,2433.0,-5.401697,-4.669622,3.149221,Neutral
10058.0,2109.0,-4.766396,-5.781694,3.656898,Neutral
27513.0,1156.0,-3.673233,-6.692201,2.694161,Neutral
-30576.0,85.0,-2.673556,-7.696225,-0.439358,Neutral
-30707.0,519.0,0.938222,-7.232558,-3.116839,Neutral
-31446.0,611.0,5.363963,-4.632788,-8.643443,Neutral
24677.0,3798.0,13.091846,-1.824332,-13.059401,Neutral
15072.0,6898.0,18.027693,2.097658,-19.559185,Neutral
4859.0,10152.0,23.193232,3.591818,-22.687069,Neutral
-1126.0,10764.0,24.709951,3.444904,-25.720362,Jump_Forward
-8981.0,9732.0,24.844746,2.139384,-27.113037,Jump_Forward
-10722.0,9514.0,24.131128,-0.384472,-29.948576,Jump_Forward
-14291.0,6568.0,22.570454,-2.227773,-33.09948,Jump_Forward
-13334.0,7282.0,21.406843,-4.422041,-39.270336,Jump_Forward
-12123.0,7241.0,19.007515,-5.740185,-43.714504,Jump_Forward
-12017.0,6594.0,15.947112,-6.941171,-50.980118,Jump_Forward
-19211.0,-186.0,8.191822,-6.956432,-56.76749,Jump_Forward
-16597.0,514.0,3.101096,-6.67571,-67.096298,Jump_Forward
-7016.0,9420.0,-1.000364,-6.664398,-73.824982,Jump_Forward
-8901.0,22803.0,-2.991167,-5.344748,-82.224342,Jump_Forward
154.0,31293.0,-5.229922,-5.874428,-84.813438,Jump_Forward
2323.0,30093.0,-4.304478,-11.148943,-80.427299,Jump_Backward
-1612.0,25247.0,-0.169858,-13.595823,-75.709534,Jump_Backward
-4126.0,15752.0,3.030974,-12.900038,-70.05558,Jump_Backward
-8553.0,6012.0,7.805146,-10.786283,-67.412193,Jump_Backward
-12647.0,3824.0,11.211363,-7.188078,-62.947617,Jump_Backward
-15828.0,5331.0,15.715702,-5.210629,-58.006813,Jump_Backward
-15409.0,6047.0,18.280415,-4.04802,-47.471851,Jump_Backward
-13405.0,7101.0,20.957527,-4.4268,-39.487823,Jump_Backward
-9792.0,6962.0,21.986393,-6.454921,-28.464455,Jump_Backward
-2878.0,10266.0,23.064749,-8.203968,-22.402416,Neutral
-220.0,10077.0,23.416584,-10.135589,-13.779343,Neutral
35.0,9251.0,22.283176,-10.435055,-7.184445,Neutral
690.0,7601.0,20.868435,-9.394177,3.885191,Neutral
