x,z,yaw,pitch,roll,action
190.0,379.0,11.377243,0.06947,-2.924109,Neutral
291.0,363.0,11.619085,0.086856,-2.775078,Neutral
255.0,357.0,11.740138,0.099097,-2.493018,Neutral
302.0,394.0,11.922893,0.110713,-2.238803,Neutral
320.0,195.0,12.045074,0.137208,-1.91961,Neutral
210.0,66.0,12.172422,0.166625,-1.712664,Neutral
323.0,73.0,12.257427,0.203202,-1.378127,Neutral
479.0,174.0,12.38535,0.217336,-1.172559,Neutral
245.0,81.0,12.460596,0.213264,-0.863355,Neutral
201.0,291.0,12.580853,0.219629,-0.658488,Neutral
240.0,438.0,12.657711,0.222134,-0.355494,Neutral
367.0,550.0,12.756593,0.240182,-0.135215,Neutral
346.0,381.0,12.832765,0.311936,0.16859,Neutral
477.0,283.0,12.980412,0.40122,0.312583,Neutral
247.0,-21.0,13.091929,0.567903,0.515161,Neutral
83.0,47.0,13.258711,0.692809,0.649817,Neutral
-61.0,-23.0,13.326373,0.844522,0.851702,Neutral
29.0,58.0,13.366129,0.931929,1.003349,Neutral
-369.0,-201.0,13.380655,1.067254,1.167545,Neutral
-201.0,-355.0,13.442492,1.175019,1.208597,Neutral
98.0,-95.0,13.490919,1.238052,1.266078,Neutral
-67.0,-79.0,13.504045,1.220687,1.349157,Neutral
-175.0,-91.0,13.509542,1.223255,1.504671,Neutral
238.0,-129.0,13.551591,1.20713,1.580315,Neutral
172.0,35.0,13.571038,1.102213,1.688098,Neutral
207.0,289.0,13.60619,1.03555,1.771912,Neutral
202.0,248.0,13.632635,0.935905,1.894246,Neutral
103.0,275.0,13.691034,0.877654,1.96497,Neutral
208.0,519.0,13.747404,0.780028,2.066594,Neutral
303.0,438.0,13.81727,0.692568,2.141062,Neutral
302.0,368.0,13.860232,0.572775,2.246821,Neutral
400.0,572.0,13.923738,0.516591,2.296681,Neutral
404.0,704.0,13.939376,0.43826,2.350924,Neutral
260.0,398.0,13.967077,0.4112,2.397125,Neutral
126.0,363.0,13.980787,0.360318,2.405069,Neutral
305.0,413.0,13.997522,0.329701,2.422486,Neutral
409.0,522.0,14.018124,0.286907,2.424458,Neutral
368.0,724.0,13.991137,0.249193,2.441001,Neutral
393.0,739.0,13.968488,0.21691,2.479245,Neutral
544.0,778.0,13.934961,0.201786,2.491287,Neutral
483.0,617.0,13.918905,0.212039,2.471344,Neutral
356.0,443.0,13.905131,0.244355,2.439895,Neutral
340.0,527.0,13.897837,0.306968,2.391157,Neutral
348.0,340.0,13.880878,0.334881,2.394547,Neutral
370.0,464.0,13.860296,0.38376,2.400323,Neutral
537.0,493.0,13.789216,0.42145,2.383712,Neutral
451.0,681.0,13.725613,0.462043,2.409361,Neutral
391.0,510.0,13.661767,0.484204,2.411632,Neutral
382.0,366.0,13.638431,0.544419,2.390278,Neutral
355.0,466.0,13.616249,0.603723,2.368974,Neutral
160.0,401.0,13.587765,0.732469,2.356119,Neutral
3.0,388.0,13.543513,0.832759,2.346807,Neutral
-202.0,280.0,13.522706,0.980766,2.293583,Neutral
-282.0,363.0,13.515379,1.078091,2.248653,Neutral
-94.0,299.0,13.478035,1.136266,2.234386,Neutral
118.0,530.0,13.349323,1.1381,2.28342,Neutral
302.0,345.0,13.193968,1.181887,2.350414,Neutral
136.0,195.0,12.816566,1.252127,2.377825,Neutral
89.0,-27.0,12.505189,1.413381,2.447426,Neutral
-475.0,-521.0,11.978568,1.524342,2.518597,Neutral
-940.0,-747.0,11.628547,1.736656,2.673773,Neutral
-1381.0,-877.0,11.092746,1.866803,2.779588,Neutral
-1964.0,-830.0,10.720928,2.058186,3.027823,Neutral
-2134.0,-1149.0,10.152721,2.171395,3.263417,Neutral
-2720.0,-1301.0,9.852354,2.339268,3.590052,Neutral
-2474.0,-326.0,9.741761,2.458955,3.685234,Neutral
-1043.0,941.0,9.918275,2.503596,3.855417,Neutral
2209.0,2941.0,10.382921,2.463768,4.0813,Neutral
4546.0,3541.0,10.58386,2.586645,4.400156,Neutral
5565.0,2290.0,10.385909,2.869962,4.517712,Neutral
5417.0,1117.0,10.153869,3.619897,4.083861,Neutral
3759.0,629.0,10.065205,4.125216,3.326576,Neutral
1931.0,279.0,9.911884,4.63582,2.213726,Neutral
-2435.0,-652.0,9.49226,4.810975,1.84913,Neutral
-5353.0,-230.0,9.142824,4.822496,1.775503,Neutral
-7205.0,393.0,8.317405,4.541986,1.990837,Neutral
-6704.0,548.0,7.752453,3.676437,3.122856,Neutral
-5954.0,913.0,7.303611,3.102656,3.905902,Neutral
-5360.0,589.0,7.23503,2.393543,4.048164,Neutral
-4262.0,466.0,7.345016,2.015329,3.551059,Neutral
-2046.0,1018.0,7.470539,1.472535,2.485862,Neutral
1693.0,-128.0,7.288638,1.119151,1.85393,Neutral
3502.0,-1084.0,6.982762,0.838765,1.462345,Neutral
5252.0,-1821.0,6.480495,0.888329,1.287754,Neutral
6638.0,-1482.0,6.260349,0.962274,0.944362,Neutral
7423.0,-733.0,6.2171,1.058828,0.492298,Neutral
6198.0,-892.0,6.359787,1.529819,-0.568623,Neutral
2123.0,-1814.0,6.992468,2.080777,-1.272491,Neutral
-2040.0,-1510.0,7.611684,3.066917,-2.402805,Neutral
-6593.0,-591.0,8.042613,3.582075,-3.007691,Neutral
-9116.0,-190.0,7.840349,3.794616,-2.55217,Neutral
-10616.0,-109.0,7.357312,3.607333,-1.291693,Neutral
-10219.0,85.0,7.421673,3.076429,0.991288,Neutral
-8911.0,188.0,8.395722,2.684419,2.041315,Neutral
-6849.0,319.0,9.374292,2.314596,2.838164,Neutral
-208.0,1525.0,10.933039,2.204733,3.377776,Neutral
4573.0,1694.0,11.63999,2.078933,4.293465,Neutral
7132.0,-979.0,10.829771,2.257615,4.962224,Neutral
5467.0,-2315.0,9.617253,2.918384,5.855134,Neutral
8202.0,1533.0,9.012398,3.083332,6.707541,Neutral
8582.0,4117.0,9.045705,2.60143,8.097752,Neutral
5118.0,3365.0,8.764833,2.175138,8.244306,Neutral
719.0,1993.0,8.687217,1.701707,7.451507,Neutral
-5152.0,1467.0,9.111504,1.597556,6.892349,Neutral
-7225.0,1679.0,9.322401,1.207589,6.06573,Neutral
-10266.0,1362.0,9.099607,0.716371,5.788506,Neutral
-10449.0,929.0,8.824134,-0.27284,6.057282,Neutral
-10141.0,545.0,8.782571,-1.02275,6.280499,Neutral
-8781.0,-80.0,9.210786,-2.066683,5.613181,Neutral
-3383.0,879.0,10.517929,-2.710543,4.538798,Neutral
2666.0,2161.0,11.502837,-3.471661,2.256559,Neutral
10082.0,642.0,12.112576,-3.703238,0.895345,Neutral
10676.0,-2002.0,11.322826,-3.339211,-0.551717,Neutral
12989.0,-3705.0,9.647543,-2.692902,-1.759301,Neutral
15135.0,-2646.0,9.064474,-1.629643,-2.961265,Neutral
9979.0,-3799.0,9.232102,-0.920854,-3.498216,Neutral
4256.0,-3228.0,10.296685,0.67718,-4.830696,Neutral
-2346.0,-1323.0,12.06181,1.736743,-5.683824,Neutral
-6641.0,-57.0,12.70435,2.412505,-5.385148,Neutral
-11375.0,1653.0,12.936728,2.208366,-4.128317,Neutral
-12364.0,2599.0,12.81842,1.127217,-1.252132,Neutral
-12955.0,3887.0,12.603721,0.024537,0.784002,Neutral
-10609.0,4733.0,12.648218,-1.709319,3.387872,Neutral
-5517.0,5416.0,13.268391,-2.717392,4.891868,Neutral
-396.0,5895.0,13.965898,-3.764658,6.465842,Neutral
6938.0,5863.0,14.756023,-4.084078,6.799422,Neutral
6801.0,3853.0,13.760342,-3.814634,6.42733,Neutral
8031.0,1875.0,11.278978,-3.266165,5.845012,Neutral
12682.0,3134.0,10.236192,-2.675222,6.697236,Neutral
12390.0,2375.0,9.202048,-2.381245,7.65602,Neutral
7481.0,1348.0,9.17713,-1.523924,6.963761,Neutral
1198.0,897.0,10.070893,-0.755747,5.49196,Neutral
-2305.0,1202.0,10.642975,0.047779,3.515612,Neutral
-6043.0,2004.0,10.652122,0.206631,2.604671,Neutral
-7788.0,2172.0,10.094856,-0.20955,2.172262,Neutral
-9467.0,1605.0,9.025731,-0.74925,2.763961,Neutral
-9160.0,1310.0,8.771976,-1.600167,4.036683,Neutral
-6949.0,2272.0,9.580493,-2.044664,4.392568,Neutral
-1956.0,2763.0,10.751124,-2.448515,3.715566,Neutral
5995.0,1988.0,13.186339,-2.39145,2.587936,Neutral
7250.0,-1036.0,14.030046,-1.232589,0.308286,Neutral
7758.0,-4633.0,12.948541,0.082748,-1.18784,Neutral
11726.0,-3892.0,11.851777,1.145472,-1.785173,Neutral
10592.0,-1730.0,10.332994,1.2069,-0.789094,Neutral
7059.0,-917.0,9.917289,1.190569,0.114669,Neutral
529.0,227.0,10.255301,1.204476,-0.450284,Neutral
-3111.0,429.0,10.538423,1.333835,-1.250118,Neutral
-7531.0,1302.0,10.710363,1.409836,-1.352572,Neutral
-9455.0,918.0,10.579056,1.446015,-0.81321,Neutral
-11477.0,1184.0,10.198091,1.382846,0.085874,Neutral
-11092.0,1398.0,9.996906,1.086968,2.056813,Neutral
-9050.0,1381.0,10.067122,0.770673,3.375453,Neutral
-6373.0,2097.0,10.437467,0.368918,4.794941,Neutral
