x,z,yaw,pitch,roll,action
406.0,19.0,-2.487548,-0.226542,1.117573,Neutral
243.0,101.0,-2.417271,-0.241389,1.124616,Neutral
179.0,348.0,-2.332343,-0.276597,1.146201,Neutral
55.0,501.0,-2.282754,-0.367485,1.18983,Neutral
-31446.0,611.0,5.363963,-4.632788,-8.643443,Neutral
24677.0,3798.0,13.091846,-1.824332,-13.059401,Neutral
15072.0,6898.0,18.027693,2.097658,-19.559185,Neutral
4859.0,10152.0,23.193232,3.591818,-22.687069,Neutral
-1126.0,10764.0,24.709951,3.444904,-25.720362,Jump_Forward
-8981.0,9732.0,24.844746,2.139384,-27.113037,Jump_Forward
-10722.0,9514.0,24.131128,-0.384472,-29.948576,Jump_Forward
-14291.0,6568.0,22.570454,-2.227773,-33.09948,Jump_Forward
-13334.0,7282.0,21.406843,-4.422041,-39.270336,Jump_Forward
-12123.0,7241.0,19.007515,-5.740185,-43.714504,Jump_Forward
-12017.0,6594.0,15.947112,-6.941171,-50.980118,Jump_Forward
-19211.0,-186.0,8.191822,-6.956432,-56.76749,Jump_Forward
-16597.0,514.0,3.101096,-6.67571,-67.096298,Jump_Forward
-7016.0,9420.0,-1.000364,-6.664398,-73.824982,Jump_Forward
-8901.0,22803.0,-2.991167,-5.344748,-82.224342,Jump_Forward
154.0,31293.0,-5.229922,-5.874428,-84.813438,Jump_Forward
2323.0,30093.0,-4.304478,-11.148943,-80.427299,Jump_Backward
-1612.0,25247.0,-0.169858,-13.595823,-75.709534,Jump_Backward
-4126.0,15752.0,3.030974,-12.900038,-70.05558,Jump_Backward
-8553.0,6012.0,7.805146,-10.786283,-67.412193,Jump_Backward
-12647.0,3824.0,11.211363,-7.188078,-62.947617,Jump_Backward
-15828.0,5331.0,15.715702,-5.210629,-58.006813,Jump_Backward
-15409.0,6047.0,18.280415,-4.04802,-47.471851,Jump_Backward
-13405.0,7101.0,20.957527,-4.4268,-39.487823,Jump_Backward
-9792.0,6962.0,21.986393,-6.454921,-28.464455,Jump_Backward
-2878.0,10266.0,23.064749,-8.203968,-22.402416,Neutral
-220.0,10077.0,23.416584,-10.135589,-13.779343,Neutral
35.0,9251.0,22.283176,-10.435055,-7.184445,Neutral
690.0,7601.0,20.868435,-9.394177,3.885191,Neutral
-9188.0,8922.0,30.329596,4.195512,-12.418678,Neutral
-13052.0,5090.0,30.450331,3.494469,-15.567526,Neutral
-13833.0,4613.0,30.065777,2.49532,-21.303873,Neutral
-13729.0,4721.0,28.870974,1.439354,-25.631584,Neutral
-15589.0,3719.0,27.315462,-0.108359,-33.328934,Jump_Forward
-19126.0,125.0,22.806963,-0.2348,-39.717461,Jump_Forward
-20044.0,-414.0,18.360628,0.931495,-51.290119,Jump_Forward
-10594.0,4247.0,13.286806,1.745301,-59.551907,Jump_Forward
-10317.0,14122.0,12.328984,3.05077,-70.098824,Jump_Forward
-4705.0,28573.0,10.609971,4.597714,-75.121956,Jump_Forward
-53.0,29224.0,10.95178,3.027771,-77.49382,Jump_Forward
983.0,28470.0,15.161915,0.720775,-74.795662,Jump_Backward
1825.0,24564.0,18.717552,0.224944,-69.075821,Jump_Backward
-3071.0,12402.0,21.974495,2.196216,-66.516243,Jump_Backward
-4480.0,8620.0,23.333689,6.148189,-66.527687,Jump_Backward
-10536.0,7411.0,25.308165,7.674993,-66.300385,Jump_Backward
-14323.0,7905.0,26.422941,7.21556,-61.271271,Jump_Backward
-16455.0,10188.0,28.019041,5.335729,-55.339466,Jump_Backward
-15623.0,8995.0,29.094915,1.901685,-45.286873,Jump_Backward
-14888.0,8059.0,30.257435,-0.013689,-38.606651,Jump_Backward
-14197.0,6749.0,30.729099,-1.631756,-29.204016,Jump_Backward
-12559.0,6894.0,31.384834,-1.905604,-23.080303,Neutral
-10149.0,7290.0,31.833776,-1.981505,-14.347604,Neutral
-5557.0,9967.0,31.865356,-2.198581,-8.795739,Neutral
92.0,10002.0,31.135414,-2.295892,0.756609,Neutral
1182.0,14675.0,17.232697,4.480346,-21.750135,Neutral
-3481.0,14342.0,22.523895,4.562331,-22.125919,Neutral
-6683.0,13429.0,26.104595,4.957131,-24.336229,Neutral
-9181.0,12477.0,30.787359,5.461062,-25.595228,Neutral
-9812.0,13894.0,33.573891,5.592898,-27.46501,Jump_Forward
-7659.0,13662.0,36.765308,5.202381,-28.839689,Jump_Forward
-9997.0,10846.0,37.414684,4.352964,-31.62566,Jump_Forward
-19480.0,3370.0,35.728939,4.369687,-34.765606,Jump_Forward
-23716.0,-989.0,32.979221,5.277554,-41.717056,Jump_Forward
-14805.0,-2092.0,26.223253,5.637697,-47.525242,Jump_Forward
-11023.0,1527.0,21.324955,5.652294,-58.044994,Jump_Forward
-16207.0,12304.0,15.806227,6.546198,-65.731918,Jump_Forward
-7530.0,17862.0,12.579769,7.146638,-74.42952,Jump_Forward
-3337.0,28559.0,11.958009,4.140866,-75.078026,Jump_Forward
317.0,27231.0,15.43698,0.105489,-70.251266,Jump_Backward
-673.0,22470.0,19.533762,1.140041,-66.639412,Jump_Backward
-1868.0,14760.0,20.588327,4.903307,-65.847946,Jump_Backward
-6445.0,8915.0,21.884069,6.417044,-66.197365,Jump_Backward
-7798.0,9060.0,22.84915,7.280221,-64.416206,Jump_Backward
-11793.0,9983.0,24.91666,7.089134,-62.278584,Jump_Backward
-15654.0,9160.0,26.350142,6.380579,-57.686275,Jump_Backward
-20890.0,6100.0,28.353535,5.591013,-53.95343,Jump_Backward
-20382.0,4387.0,30.246098,4.088535,-47.442928,Jump_Backward
-17228.0,4563.0,33.601665,3.367564,-42.092491,Jump_Backward
-15319.0,3352.0,35.45192,3.133915,-31.903122,Jump_Backward
-13259.0,3090.0,36.848801,3.560711,-23.768232,Neutral
-8982.0,4259.0,36.959866,4.01267,-12.007147,Neutral
266.0,6281.0,35.590218,3.701388,-5.024893,Neutral
3211.0,6383.0,34.349888,3.6629,6.207689,Neutral
-6728.0,12138.0,22.390154,8.856859,-31.046316,Neutral
-10772.0,10226.0,21.555412,8.015819,-30.965094,Neutral
-11378.0,10484.0,21.227755,6.47929,-32.695583,Neutral
-12370.0,9653.0,21.353642,5.542403,-35.567532,Neutral
-14507.0,8744.0,21.399471,4.449941,-40.898354,Jump_Forward
-17882.0,6394.0,20.545681,4.236774,-45.391079,Jump_Forward
-20285.0,3302.0,18.179525,4.641129,-53.770847,Jump_Forward
-21273.0,-4578.0,11.651383,4.990053,-60.962055,Jump_Forward
-19283.0,-2764.0,7.770386,4.865197,-74.098145,Jump_Forward
-9438.0,23260.0,3.856504,4.987143,-83.311058,Jump_Forward
-4572.0,32461.0,3.420593,3.331401,-88.929611,Jump_Forward
86.0,30771.0,6.150331,-0.601852,-83.004196,Jump_Backward
2125.0,28354.0,8.56439,-4.108719,-74.33593,Jump_Backward
-3792.0,17827.0,12.36246,-2.753415,-72.846115,Jump_Backward
-6280.0,11825.0,14.404345,1.526273,-72.52459,Jump_Backward
-9409.0,10016.0,16.972599,3.666085,-72.135902,Jump_Backward
-11827.0,8920.0,18.544147,4.255975,-68.139397,Jump_Backward
-17383.0,6831.0,20.690651,3.293059,-62.666927,Jump_Backward
-20229.0,4702.0,21.772688,1.600266,-52.069084,Jump_Backward
-19953.0,4418.0,23.05834,0.682508,-44.394878,Jump_Backward
-18022.0,2208.0,23.933287,0.177993,-33.206501,Neutral
-15799.0,1097.0,25.71323,0.711969,-26.340536,Neutral
-10182.0,3051.0,26.737072,2.148747,-17.188244,Neutral
-2366.0,8566.0,27.096418,2.435643,-11.907623,Neutral
-1661.0,13404.0,31.460457,8.866762,-24.783691,Neutral
-4699.0,13573.0,31.767422,8.405401,-27.383886,Neutral
-5885.0,13100.0,31.293324,7.629548,-32.308952,Neutral
-11533.0,9481.0,28.946041,7.339479,-36.701092,Neutral
-15389.0,7938.0,26.349661,7.398633,-44.517506,Jump_Forward
-19296.0,5527.0,21.540287,7.54154,-50.394901,Jump_Forward
-18082.0,3747.0,17.698868,7.4068,-60.174759,Jump_Forward
-20168.0,740.0,12.326681,7.048197,-67.458481,Jump_Forward
-23607.0,2924.0,9.383568,7.79273,-80.155571,Jump_Forward
-16920.0,12561.0,4.883714,8.282684,-87.6306,Jump_Forward
-15060.0,23512.0,3.771575,174.654068,-90.872559,Jump_Forward
-8920.0,32120.0,5.803269,2.450969,-87.735939,Jump_Backward
-3179.0,30592.0,7.429485,0.905996,-82.37307,Jump_Backward
5364.0,30100.0,10.54039,1.168051,-80.630783,Jump_Backward
5560.0,27233.0,12.660763,2.195757,-77.748985,Jump_Backward
3135.0,21405.0,15.430549,3.018495,-75.521355,Jump_Backward
2559.0,21860.0,18.103868,3.921826,-71.880272,Jump_Backward
1590.0,21443.0,24.235947,4.626805,-68.508202,Jump_Backward
907.0,17861.0,27.808897,6.802857,-62.6446,Jump_Backward
-5225.0,9736.0,30.762894,8.428333,-59.973099,Jump_Backward
-9893.0,3851.0,31.422676,10.251957,-56.569687,Jump_Backward
-14166.0,2475.0,31.691027,10.447796,-52.56308,Jump_Backward
-12970.0,3598.0,31.694946,9.409046,-44.07338,Jump_Backward
-10932.0,5105.0,31.728561,7.861888,-38.170753,Neutral
-11459.0,4758.0,31.661959,5.863888,-30.075336,Neutral
-12576.0,4565.0,31.24637,5.45236,-24.917643,Neutral
-11691.0,5256.0,30.886383,6.039574,-16.43095,Neutral
-11224.0,8023.0,23.686262,10.893906,-16.194532,Neutral
-12414.0,6751.0,24.759535,10.084086,-22.040997,Neutral
-16191.0,5058.0,24.958858,9.765664,-26.442266,Neutral
-17130.0,4852.0,24.413359,8.919309,-33.969597,Neutral
-16870.0,4077.0,22.463003,8.016482,-39.667461,Jump_Forward
-14285.0,5065.0,20.569958,6.757326,-48.792782,Jump_Forward
-9112.0,8357.0,18.589325,6.288587,-54.855309,Jump_Forward
-5952.0,14532.0,18.443773,6.70973,-63.264595,Jump_Forward
-2443.0,22055.0,18.780552,7.574935,-67.586823,Jump_Forward
-1998.0,25591.0,18.458277,8.425188,-71.893906,Jump_Forward
-4719.0,22761.0,16.020159,8.499861,-73.868767,Jump_Forward
-6334.0,17756.0,14.64734,6.541126,-74.574638,Jump_Forward
-8660.0,15404.0,14.96265,4.980206,-73.435852,Jump_Backward
-7594.0,15514.0,16.3139,4.559711,-71.271141,Jump_Backward
-5784.0,16282.0,19.454496,5.375589,-70.626945,Jump_Backward
-4760.0,15854.0,21.682325,7.801039,-70.331413,Jump_Backward
-6499.0,13272.0,23.102295,9.38562,-69.689095,Jump_Backward
-8096.0,11957.0,23.070034,9.723057,-67.873116,Jump_Backward
-10621.0,13854.0,23.142284,8.669346,-65.784882,Jump_Backward
-9351.0,15163.0,23.937126,6.346558,-61.343254,Jump_Backward
-8841.0,19348.0,26.168083,4.705095,-57.110527,Jump_Backward
-7699.0,19515.0,27.845964,2.328918,-48.61425,Jump_Backward
-7533.0,16552.0,29.812412,0.565701,-41.141121,Jump_Backward
-7224.0,10071.0,30.562693,-1.137974,-27.832539,Neutral
-6337.0,1184.0,31.848661,-0.750338,-19.119614,Neutral
-9370.0,-3177.0,33.486942,2.17188,-8.935503,Neutral
-9804.0,-3983.0,35.591858,4.59335,-4.277015,Neutral
-381.0,15626.0,31.686485,5.27113,-31.478722,Neutral
-8954.0,14578.0,29.910706,3.145031,-29.860703,Neutral
-9209.0,13732.0,28.656158,-1.191805,-27.74341,Neutral
-10402.0,11819.0,26.255377,-3.947393,-29.057228,Neutral
-15287.0,9251.0,23.68688,-5.84566,-36.683975,Jump_Forward
-21357.0,5952.0,17.908966,-5.40132,-44.029163,Jump_Forward
-19361.0,6783.0,12.689924,-3.956655,-56.86401,Jump_Forward
-14871.0,594.0,4.063227,-2.911128,-66.573425,Jump_Forward
-28954.0,5979.0,0.134045,-1.181416,-81.628845,Jump_Forward
-19146.0,18737.0,-3.00497,-0.326075,-89.206825,Jump_Forward
-15263.0,28786.0,-4.308775,-3.436886,-89.315559,Jump_Forward
-7080.0,31333.0,-2.297413,-7.898953,-84.931786,Jump_Backward
251.0,29360.0,0.731835,-11.931364,-77.730232,Jump_Backward
-572.0,26577.0,5.709829,-12.462869,-73.159554,Jump_Backward
-3307.0,18949.0,9.621341,-10.410825,-67.361839,Jump_Backward
-8017.0,9635.0,16.699842,-7.859531,-63.702103,Jump_Backward
-11378.0,2029.0,21.385567,-3.895376,-55.558681,Jump_Backward
-13167.0,-2051.0,26.050663,-1.107284,-48.276611,Jump_Backward
-9387.0,-3011.0,27.848917,2.389496,-37.310932,Jump_Backward
-4587.0,260.0,30.684179,3.869873,-30.283611,Neutral
-2758.0,1281.0,33.089432,6.210549,-21.422346,Neutral
-843.0,117.0,34.7449,7.864992,-16.31423,Neutral
-1100.0,171.0,33.68454,9.422746,-10.603696,Neutral
7006.0,11826.0,27.648373,6.081986,-24.277382,Neutral
849.0,12526.0,28.32575,7.028206,-26.56727,Neutral
-905.0,13779.0,28.421627,7.461673,-29.73123,Neutral
-5163.0,11710.0,28.444883,7.086852,-32.582001,Neutral
-10726.0,9835.0,28.140919,7.167834,-39.55798,Jump_Forward
-18703.0,6422.0,26.549099,7.991241,-45.87748,Jump_Forward
-22765.0,4893.0,24.014343,9.731481,-56.457886,Jump_Forward
-21714.0,3274.0,19.42104,10.368012,-63.640282,Jump_Forward
-13263.0,4429.0,15.804315,10.194908,-72.612236,Jump_Forward
-28124.0,-1611.0,7.569987,10.345332,-79.766022,Jump_Forward
-18333.0,3333.0,2.924481,169.557739,-95.604645,Jump_Forward
-14330.0,-31439.0,1.21909,171.073425,-101.272018,Jump_Forward
-6021.0,-31389.0,4.790956,175.83551,-94.846115,Jump_Backward
-966.0,31088.0,10.520213,1.001343,-84.121094,Jump_Backward
4659.0,28424.0,12.192716,0.499495,-74.629013,Jump_Backward
8821.0,20963.0,15.158136,1.892089,-74.33033,Jump_Backward
1482.0,16877.0,16.842112,4.529342,-73.267899,Jump_Backward
-4808.0,16522.0,19.583893,5.305277,-70.746399,Jump_Backward
-8737.0,14730.0,22.28966,5.533686,-65.079628,Jump_Backward
-14927.0,8798.0,26.708368,6.165673,-60.360744,Jump_Backward
