x,z,yaw,pitch,roll,action
-11699.0,7059.0,-15.035475,-19.277781,-14.932572,Crouch_Forward
-15578.0,5996.0,-21.207737,-20.4666,-12.251103,Crouch_Forward
-25273.0,2789.0,-29.427649,-23.855116,-8.140183,Crouch_Forward
-24939.0,4197.0,-47.376305,-26.376276,-4.485165,Crouch_Forward
-25005.0,5266.0,-62.027802,-28.546284,2.15706,Crouch_Forward
-26196.0,6594.0,-88.199348,-28.281425,6.477275,Crouch_Forward
-27253.0,914.0,-102.161095,-23.648937,16.214033,Crouch_Forward
-27887.0,4589.0,-113.087097,-19.671341,22.485985,Crouch_Forward
-27773.0,10906.0,-117.005463,-17.334806,22.236414,Crouch_Backward
-26835.0,6585.0,-121.647881,-17.750044,16.642509,Crouch_Backward
-26077.0,3774.0,-122.92939,-20.976959,7.598702,Crouch_Backward
-25294.0,2209.0,-122.441956,-24.102129,7.248987,Crouch_Backward
-24993.0,-860.0,-120.279739,-27.141514,10.803078,Crouch_Backward
-24331.0,-1861.0,-113.666977,-28.32806,13.204218,Crouch_Backward
-23710.0,-3742.0,-107.232986,-30.993572,12.760225,Crouch_Backward
-22933.0,-4191.0,-95.226784,-33.565964,9.099196,Crouch_Backward
-22730.0,-2946.0,-86.321915,-36.888329,1.072562,Crouch_Backward
-22941.0,-1892.0,-72.129295,-37.782143,-4.732635,Crouch_Backward
-23380.0,962.0,-62.240501,-36.857086,-13.824538,Crouch_Backward
-20222.0,3676.0,-49.183418,-34.959476,-19.523731,Crouch_Backward
-15408.0,7302.0,-42.288437,-31.399384,-25.70689,Crouch_Backward
-13664.0,9320.0,-33.258495,-29.620506,-28.231247,Crouch_Backward
-12668.0,-751.0,-10.013238,-10.023364,-10.708999,Crouch_Forward
-18458.0,-1322.0,-8.406399,-10.555753,-9.344791,Crouch_Forward
-13649.0,988.0,-9.637924,-10.927125,-7.158287,Crouch_Forward
-20858.0,0.0,-18.265532,-14.032906,-4.000282,Crouch_Forward
-26598.0,-1503.0,-37.589016,-18.673199,-4.446262,Crouch_Forward
-26735.0,781.0,-53.731701,-22.122347,0.621696,Crouch_Forward
-27953.0,7853.0,-81.3806,-21.608437,6.349841,Crouch_Forward
-29060.0,10296.0,-100.718979,-17.092627,14.50802,Crouch_Forward
-29008.0,10138.0,-119.68129,-13.080375,19.95171,Crouch_Backward
-27913.0,9005.0,-121.877373,-13.266127,20.834736,Crouch_Backward
-26243.0,6913.0,-122.42453,-17.235392,15.519086,Crouch_Backward
-25555.0,1357.0,-121.646996,-23.470507,8.336753,Crouch_Backward
-25219.0,-344.0,-118.829178,-26.119896,6.635823,Crouch_Backward
-25204.0,-1615.0,-116.058495,-27.43486,8.555611,Crouch_Backward
-24944.0,-1853.0,-110.549057,-27.495232,10.53775,Crouch_Backward
-24522.0,-1291.0,-105.750374,-28.525507,10.358727,Crouch_Backward
-23849.0,-664.0,-96.319069,-30.21953,7.086563,Crouch_Backward
-23673.0,92.0,-89.398613,-32.98204,0.088149,Crouch_Backward
-23804.0,583.0,-78.743095,-33.721226,-3.864378,Crouch_Backward
-24047.0,2491.0,-71.301781,-33.169392,-8.781505,Crouch_Backward
-21824.0,4194.0,-60.061249,-32.161629,-12.228715,Crouch_Backward
-16973.0,5571.0,-52.612755,-30.446436,-17.465759,Crouch_Backward
