x,y,z,yaw,pitch,roll,action
-4109.0,-2577.0,9557.0,-27.38155,-22.442671,-10.757838,Neutral
-4076.0,-2579.0,9580.0,-27.386312,-22.429955,-10.757307,Neutral
-4178.0,-2898.0,9639.0,-27.420185,-22.418081,-10.765625,Neutral
-4064.0,-2769.0,9549.0,-27.44957,-22.403618,-10.77664,Neutral
-4067.0,-2701.0,9491.0,-27.488388,-22.393219,-10.778679,Neutral
-4173.0,-2817.0,9452.0,-27.508591,-22.368122,-10.805309,Neutral
-4013.0,-2622.0,9548.0,-27.518866,-22.338854,-10.859779,Neutral
-4131.0,-2549.0,9602.0,-27.535707,-22.321861,-10.875127,Neutral
-4191.0,-2550.0,9723.0,-27.539814,-22.316696,-10.911366,Neutral
-4081.0,-2784.0,9474.0,-27.580297,-22.299337,-10.928281,Neutral
-4136.0,-2639.0,9526.0,-27.614624,-22.290813,-10.929195,Neutral
-4143.0,-2401.0,9698.0,-27.653011,-22.281918,-10.931681,Neutral
-4115.0,-2859.0,9645.0,-27.680561,-22.255676,-10.951105,Neutral
-4185.0,-3210.0,9742.0,-27.773611,-22.231895,-10.955854,Neutral
-4173.0,-2990.0,9570.0,-27.842308,-22.226433,-10.932166,Neutral
-4125.0,-2579.0,9387.0,-27.869066,-22.200857,-10.936599,Neutral
-4091.0,-2052.0,9377.0,-27.854929,-22.127428,-11.049526,Neutral
-4062.0,-2174.0,9235.0,-27.82229,-22.050999,-11.139012,Neutral
-4274.0,-2687.0,9373.0,-27.841852,-21.964914,-11.18761,Neutral
-4396.0,-2927.0,9474.0,-27.910255,-21.927387,-11.196686,Neutral
-4317.0,-2907.0,9625.0,-27.94569,-21.911001,-11.209193,Neutral
-4256.0,-2635.0,9618.0,-27.945353,-21.912643,-11.232224,Neutral
-4449.0,-2496.0,9582.0,-27.902594,-21.918652,-11.263169,Neutral
-4388.0,-2559.0,9464.0,-27.872038,-21.897375,-11.295774,Neutral
-4307.0,-2331.0,9289.0,-27.853052,-21.837967,-11.333713,Neutral
-4378.0,-2299.0,9174.0,-27.824406,-21.813305,-11.331146,Neutral
-4391.0,-2494.0,9374.0,-27.814924,-21.769104,-11.336079,Neutral
-4286.0,-2911.0,9552.0,-27.838869,-21.732824,-11.33507,Neutral
-4448.0,-2852.0,9297.0,-27.875004,-21.730711,-11.307237,Neutral
-4393.0,-2573.0,9356.0,-27.874865,-21.738371,-11.284207,Neutral
-4277.0,-2420.0,9128.0,-27.830404,-21.689451,-11.359845,Neutral
-4323.0,-2594.0,9210.0,-27.790421,-21.664377,-11.44759,Neutral
-4471.0,-2598.0,9247.0,-27.776926,-21.62674,-11.498926,Neutral
-4285.0,-2451.0,9348.0,-27.756929,-21.616165,-11.52633,Neutral
-4248.0,-2227.0,9302.0,-27.743872,-21.650023,-11.577765,Neutral
-4339.0,-2139.0,9290.0,-27.721899,-21.699291,-11.589541,Neutral
-4168.0,-2317.0,9437.0,-27.726017,-21.773396,-11.591906,Neutral
-4151.0,-2425.0,9493.0,-27.764931,-21.814751,-11.585982,Neutral
-4148.0,-2567.0,9696.0,-27.809294,-21.891171,-11.520967,Neutral
-3981.0,-2561.0,9523.0,-27.850855,-21.924795,-11.478534,Neutral
-4115.0,-2695.0,9487.0,-27.861195,-21.927452,-11.462457,Neutral
-4127.0,-2711.0,9448.0,-27.878056,-21.913589,-11.454779,Neutral
-4168.0,-2828.0,9263.0,-27.884722,-21.855965,-11.467819,Neutral
-4236.0,-2735.0,9178.0,-27.889065,-21.804459,-11.487896,Neutral
-4253.0,-2296.0,9172.0,-27.867048,-21.744244,-11.534336,Neutral
-4225.0,-2160.0,9137.0,-27.811892,-21.70536,-11.56665,Neutral
-4317.0,-2342.0,9220.0,-27.801985,-21.681894,-11.594917,Neutral
-4240.0,-2312.0,9365.0,-27.80447,-21.698765,-11.579526,Neutral
-4201.0,-2368.0,9309.0,-27.821888,-21.764914,-11.523044,Neutral
-4176.0,-2321.0,9392.0,-27.85092,-21.824577,-11.49027,Neutral
-3996.0,-2506.0,9499.0,-27.87697,-21.928011,-11.424898,Neutral
-4143.0,-2858.0,9419.0,-27.951544,-21.999256,-11.378624,Neutral
-4153.0,-2890.0,9574.0,-27.991753,-22.098726,-11.29147,Neutral
-4072.0,-2744.0,9409.0,-28.035551,-22.138733,-11.254321,Neutral
-4059.0,-2425.0,9533.0,-28.053211,-22.167459,-11.265108,Neutral
-3946.0,-2435.0,9445.0,-28.053381,-22.172173,-11.276917,Neutral
-3988.0,-2634.0,9249.0,-28.066305,-22.173414,-11.284171,Neutral
-4069.0,-2741.0,9430.0,-28.090595,-22.18869,-11.280348,Neutral
-4058.0,-2648.0,9434.0,-28.112059,-22.246403,-11.236532,Neutral
-3988.0,-2589.0,9330.0,-28.142353,-22.289997,-11.227738,Neutral
-4004.0,-2557.0,9633.0,-28.148199,-22.355371,-11.220588,Neutral
-4033.0,-2562.0,9477.0,-28.16803,-22.41017,-11.211823,Neutral
-3970.0,-2521.0,9568.0,-28.184381,-22.488201,-11.205128,Neutral
-3958.0,-2668.0,9635.0,-28.219416,-22.530338,-11.195889,Neutral
-3952.0,-2703.0,9528.0,-28.234932,-22.592945,-11.204995,Neutral
-4041.0,-2459.0,9572.0,-28.272568,-22.628363,-11.197083,Neutral
-4058.0,-2507.0,9400.0,-28.298279,-22.655455,-11.202028,Neutral
-4026.0,-2451.0,9586.0,-28.342131,-22.675224,-11.21677,Neutral
-3978.0,-2618.0,9447.0,-28.374882,-22.704433,-11.189641,Neutral
-3777.0,-2612.0,9476.0,-28.438831,-22.733011,-11.170954,Neutral
-3839.0,-2960.0,9380.0,-28.477821,-22.785797,-11.144168,Neutral
-3580.0,-3730.0,9092.0,-28.565313,-22.823799,-11.131749,Neutral
-3438.0,-3785.0,8766.0,-28.646591,-22.878723,-11.138185,Neutral
