x,y,z,yaw,pitch,roll,action
-154.0,-971.0,1860.0,-100.908485,-35.202881,-10.080126,Neutral
-88.0,-1010.0,1662.0,-100.870293,-35.13335,-10.118831,Neutral
-124.0,-965.0,1643.0,-100.849998,-35.029125,-10.177292,Neutral
-19.0,-794.0,1627.0,-100.840958,-34.973713,-10.219431,Neutral
-144.0,-941.0,1543.0,-100.843803,-34.900551,-10.24145,Neutral
-61.0,-1200.0,1406.0,-100.88681,-34.861797,-10.228521,Neutral
-40.0,-1128.0,1532.0,-100.918938,-34.819035,-10.223118,Neutral
-32.0,-1335.0,1693.0,-100.957649,-34.789703,-10.243931,Neutral
17.0,-1188.0,1810.0,-100.950348,-34.761856,-10.233605,Neutral
33.0,-1123.0,1838.0,-100.907455,-34.748463,-10.25582,Neutral
-72.0,-1172.0,1852.0,-100.881592,-34.720654,-10.298615,Neutral
-296.0,-1105.0,1721.0,-100.813545,-34.693035,-10.317041,Neutral
-416.0,-1129.0,1726.0,-100.709381,-34.669147,-10.366715,Neutral
73.0,-1134.0,1717.0,-100.465515,-34.705673,-10.393489,Neutral
159.0,-782.0,1871.0,-100.327576,-34.860867,-10.423566,Neutral
57.0,-890.0,1819.0,-100.226265,-34.912796,-10.401992,Neutral
74.0,-865.0,1795.0,-100.198402,-34.901417,-10.342744,Neutral
-20.0,-1111.0,1722.0,-100.217484,-34.874821,-10.33354,Neutral
44.0,-1130.0,1715.0,-100.224869,-34.825344,-10.303882,Neutral
91.0,-1057.0,1800.0,-100.252792,-34.80772,-10.278143,Neutral
111.0,-1105.0,1727.0,-100.286491,-34.764336,-10.240886,Neutral
167.0,-1241.0,1583.0,-100.342987,-34.729729,-10.226595,Neutral
92.0,-1262.0,1608.0,-100.374336,-34.673805,-10.224336,Neutral
121.0,-1239.0,1725.0,-100.400261,-34.653034,-10.232686,Neutral
88.0,-1211.0,1807.0,-100.40873,-34.629765,-10.23115,Neutral
65.0,-959.0,1928.0,-100.417191,-34.609764,-10.230782,Neutral
-5.0,-1085.0,1947.0,-100.426041,-34.579884,-10.240561,Neutral
-35.0,-1010.0,1833.0,-100.446815,-34.565441,-10.236198,Neutral
-155.0,-876.0,1865.0,-100.463341,-34.524704,-10.224092,Neutral
-177.0,-1038.0,1861.0,-100.494942,-34.489025,-10.217252,Neutral
-206.0,-1020.0,1759.0,-100.514992,-34.465355,-10.165613,Neutral
-241.0,-1124.0,1693.0,-100.555817,-34.45377,-10.137995,Neutral
-276.0,-1097.0,1700.0,-100.594048,-34.42194,-10.095075,Neutral
-92.0,-1222.0,1459.0,-100.644226,-34.408272,-10.068514,Neutral
-142.0,-1225.0,1422.0,-100.673615,-34.398647,-10.020829,Neutral
-46.0,-1354.0,1339.0,-100.717484,-34.399403,-9.998598,Neutral
-45.0,-1312.0,1513.0,-100.736275,-34.419365,-9.985402,Neutral
96.0,-1093.0,1551.0,-100.737732,-34.454021,-9.985832,Neutral
148.0,-1174.0,1880.0,-100.748245,-34.522358,-9.973766,Neutral
62.0,-1442.0,1908.0,-100.779305,-34.564117,-9.924528,Neutral
38.0,-1349.0,2035.0,-100.777863,-34.59848,-9.909845,Neutral
