Type,Time,x,y,z
Accel,0,1657.000000,-4057.000000,4092.000000
Gyro,0,-61.875565,65.441856,67.682663
Accel,0.02,361.000000,-3666.000000,3487.000000
Gyro,0.02,-61.754211,64.844353,66.361191
Accel,0.02,607.000000,-3899.000000,2784.000000
Gyro,0.02,-61.608490,64.574776,66.065666
Accel,0.02,2035.000000,-3672.000000,3455.000000
Gyro,0.02,-61.587776,64.170494,66.060242
Accel,0.02,1994.000000,-3569.000000,3922.000000
Gyro,0.02,-62.010044,63.940147,66.314621
Accel,0.02,1611.000000,-4277.000000,3168.000000
Gyro,0.02,-62.663986,64.032387,68.290741
Accel,0.02,110.000000,-3045.000000,3128.000000
Gyro,0.02,-63.698219,64.451149,70.637177
Accel,0.02,446.000000,-3762.000000,4244.000000
Gyro,0.02,-64.243225,65.072105,75.253769
Accel,0.02,1001.000000,-4533.000000,4903.000000
Gyro,0.02,-65.389687,65.246277,79.119713
Accel,0.02,831.000000,-1316.000000,6167.000000
Gyro,0.02,-66.351562,65.785927,85.560448
Accel,0.02,-603.000000,-1807.000000,7407.000000
Gyro,0.02,-68.501480,113.677505,90.381355
Accel,0.02,-1684.000000,-2637.000000,9422.000000
Gyro,0.02,-70.413406,112.423012,101.452721
Accel,0.02,-1581.000000,-3236.000000,13228.000000
Gyro,0.02,-72.839592,111.183479,111.400047
Accel,0.02,-1955.000000,-3074.000000,16528.000000
Gyro,0.02,-74.187073,109.590019,128.877548
Accel,0.02,-580.000000,-3614.000000,20399.000000
Gyro,0.02,-75.682404,108.713791,143.046600
Accel,0.02,-3819.000000,-2718.000000,21408.000000
Gyro,0.02,-75.624741,108.313889,167.184937
Accel,0.02,-7860.000000,-5512.000000,18770.000000
Gyro,0.02,-73.787712,109.575256,-177.390442
Accel,0.02,-4615.000000,-2959.000000,20608.000000
Gyro,0.02,-73.232124,111.498299,-162.114594
Accel,0.02,-2208.000000,414.000000,24181.000000
Gyro,0.02,-74.752953,110.638008,-158.182175
Accel,0.02,-4657.000000,945.000000,23429.000000
Gyro,0.02,-76.097771,107.656059,-159.439163
Accel,0.02,-4837.000000,1502.000000,20916.000000
Gyro,0.02,-78.802124,105.979607,-163.557892
Accel,0.0814907,-3218.000000,2240.000000,20187.000000
Gyro,0.0814907,-80.533218,103.038452,-172.594193
Accel,0.0814907,-1815.000000,2089.000000,18519.000000
Gyro,0.0814907,-80.981628,100.621040,177.638916
Accel,0.095499,-2136.000000,267.000000,15717.000000
Gyro,0.1016567,-80.338158,98.343346,150.625977
Accel,0.1288359,-2705.000000,-375.000000,13097.000000
Gyro,0.1288359,-79.667206,98.454788,131.231552
Accel,0.1470972,-1688.000000,177.000000,11871.000000
Gyro,0.1552776,-79.464615,99.388573,108.668480
Accel,0.1717693,93.000000,155.000000,10695.000000
Gyro,0.1783889,-78.684952,100.205132,95.008659
Accel,0.1977167,-614.000000,-1280.000000,8954.000000
Gyro,0.1977167,-77.866341,77.816353,80.089409
Accel,0.2221746,-1131.000000,-1402.000000,7640.000000
Gyro,0.2268918,-76.960281,76.388596,75.126785
Accel,0.2455241,-231.000000,-1723.000000,6899.000000
Gyro,0.2505012,-76.436569,74.635300,69.442001
Accel,0.2729098,678.000000,-921.000000,6648.000000
Gyro,0.2773905,-75.716393,73.476425,65.943008
Accel,0.2959413,628.000000,-1507.000000,6267.000000
Gyro,0.300668,-75.325562,71.805244,61.921177
Accel,0.3230591,207.000000,-1429.000000,5921.000000
