Type,Time,x,y,z,Action
Accel,0,-4047.000000,-2734.000000,9528.000000,Neutral
Gyro,0,-27.370874,-22.0.740675,Neutral
Accel,0,-4025.000000,-2629.000000,9596.000000,Neutral
Gyro,0,-27.381550,-22.442671,-10.757838,Neutral
Accel,0.02,-4109.000000,-2577.000000,9557.000000,Neutral
Gyro,0.02,-27.386312,-22.429955,-10.757307,Neutral
Accel,0.02,-4076.000000,-2579.000000,9580.000000,Neutral
Gyro,0.02,-27.420185,-22.418081,-10.765625,Neutral
Accel,0.02,-4178.000000,-2898.000000,9639.000000,Neutral
Gyro,0.02,-27.449570,-22.403618,-10.776640,Neutral
Accel,0.02,-4064.000000,-2769.000000,9549.000000,Neutral
Gyro,0.02,-27.488388,-22.393219,-10.778679,Neutral
Accel,0.02,-4067.000000,-2701.000000,9491.000000,Neutral
Gyro,0.02,-27.508591,-22.368122,-10.805309,Neutral
Accel,0.02,-4173.000000,-2817.000000,9452.000000,Neutral
Gyro,0.02,-27.518866,-22.338854,-10.859779,Neutral
Accel,0.02,-4013.000000,-2622.000000,9548.000000,Neutral
Gyro,0.02,-27.535707,-22.321861,-10.875127,Neutral
Accel,0.02,-4131.000000,-2549.000000,9602.000000,Neutral
Gyro,0.02,-27.539814,-22.316696,-10.911366,Neutral
Accel,0.02,-4191.000000,-2550.000000,9723.000000,Neutral
Gyro,0.02,-27.580297,-22.299337,-10.928281,Neutral
Accel,0.02,-4081.000000,-2784.000000,9474.000000,Neutral
Gyro,0.02,-27.614624,-22.290813,-10.929195,Neutral
Accel,0.02,-4136.000000,-2639.000000,9526.000000,Neutral
Gyro,0.02,-27.653011,-22.281918,-10.931681,Neutral
Accel,0.02,-4143.000000,-2401.000000,9698.000000,Neutral
Gyro,0.02,-27.680561,-22.255676,-10.951105,Neutral
Accel,0.02,-4115.000000,-2859.000000,9645.000000,Neutral
Gyro,0.02,-27.773611,-22.231895,-10.955854,Neutral
Accel,0.02,-4185.000000,-3210.000000,9742.000000,Neutral
Gyro,0.02,-27.842308,-22.226433,-10.932166,Neutral
Accel,0.02,-4173.000000,-2990.000000,9570.000000,Neutral
Gyro,0.02,-27.869066,-22.200857,-10.936599,Neutral
Accel,0.02,-4125.000000,-2579.000000,9387.000000,Neutral
Gyro,0.02,-27.854929,-22.127428,-11.049526,Neutral
Accel,0.02,-4091.000000,-2052.000000,9377.000000,Neutral
Gyro,0.02,-27.822290,-22.050999,-11.139012,Neutral
Accel,0.02,-4062.000000,-2174.000000,9235.000000,Neutral
Gyro,0.02,-27.841852,-21.964914,-11.187610,Neutral
Accel,0.02,-4274.000000,-2687.000000,9373.000000,Neutral
Gyro,0.02,-27.910255,-21.927387,-11.196686,Neutral
Accel,0.02,-4396.000000,-2927.000000,9474.000000,Neutral
Gyro,0.02,-27.945690,-21.911001,-11.209193,Neutral
Accel,0.02,-4317.000000,-2907.000000,9625.000000,Neutral
Gyro,0.02,-27.945353,-21.912643,-11.232224,Neutral
