Type,Time,x,y,z,Action
Accel,0,-4840.000000,-2746.000000,9162.000000,Neutral
Gyro,0,-27.739828,-22.535835,-10.567480,Neutral
Accel,0.02,-4817.000000,-2760.000000,9093.000000,Neutral
Gyro,0.02,-27.796371,-22.527380,-10.535823,Neutral
Accel,0.02,-4834.000000,-2666.000000,9373.000000,Neutral
Gyro,0.02,-27.908197,-22.508665,-10.543845,Neutral
Accel,0.02,-4750.000000,-2786.000000,9269.000000,Neutral
Gyro,0.02,-27.980162,-22.506493,-10.607044,Neutral
Accel,0.02,-4760.000000,-3110.000000,9307.000000,Neutral
Gyro,0.02,-28.089878,-22.515383,-10.606551,Neutral
Accel,0.02,-4666.000000,-3091.000000,9328.000000,Neutral
Gyro,0.02,-28.117445,-22.503323,-10.611589,Neutral
Accel,0.02,-4780.000000,-2889.000000,9273.000000,Neutral
Gyro,0.02,-28.108393,-22.477760,-10.646829,Neutral
Accel,0.02,-4837.000000,-2815.000000,9214.000000,Neutral
Gyro,0.02,-28.110813,-22.391420,-10.714741,Neutral
Accel,0.02,-4797.000000,-2780.000000,9329.000000,Neutral
Gyro,0.02,-28.101528,-22.359007,-10.764890,Neutral
Accel,0.02,-4969.000000,-2795.000000,9148.000000,Neutral
Gyro,0.02,-28.098619,-22.322269,-10.801682,Neutral
Accel,0.02,-5044.000000,-2792.000000,9171.000000,Neutral
Gyro,0.02,-28.075575,-22.297909,-10.821626,Neutral
Accel,0.02,-5011.000000,-2777.000000,9219.000000,Neutral
Gyro,0.02,-28.040594,-22.297880,-10.840452,Neutral
Accel,0.02,-4831.000000,-2313.000000,9177.000000,Neutral
Gyro,0.02,-27.977625,-22.309130,-10.847150,Neutral
Accel,0.02,-4959.000000,-2349.000000,9061.000000,Neutral
Gyro,0.02,-27.949707,-22.321856,-10.849164,Neutral
Accel,0.02,-4962.000000,-2636.000000,9212.000000,Neutral
Gyro,0.02,-27.949646,-22.332378,-10.852352,Neutral
Accel,0.02,-4999.000000,-2843.000000,9329.000000,Neutral
Gyro,0.02,-27.989340,-22.391077,-10.829267,Neutral
Accel,0.02,-4977.000000,-2884.000000,9271.000000,Neutral
Gyro,0.02,-28.018799,-22.435745,-10.815688,Neutral
Accel,0.02,-4808.000000,-2811.000000,9185.000000,Neutral
Gyro,0.02,-28.005772,-22.501677,-10.848133,Neutral
Accel,0.02,-4789.000000,-2515.000000,9260.000000,Neutral
Gyro,0.02,-27.986235,-22.549431,-10.890427,Neutral
Accel,0.02,-4770.000000,-2564.000000,9164.000000,Neutral
Gyro,0.02,-27.977448,-22.592545,-10.950244,Neutral
Accel,0.02,-4603.000000,-2644.000000,9132.000000,Neutral
Gyro,0.02,-27.988037,-22.625938,-10.986444,Neutral
Accel,0.02,-4719.000000,-2786.000000,9367.000000,Neutral
Gyro,0.02,-27.994356,-22.731312,-11.062445,Neutral
Accel,0.02,-4740.000000,-3036.000000,9238.000000,Neutral
Gyro,0.02,-27.993040,-22.795828,-11.106792,Neutral
Accel,0.02,-4602.000000,-2834.000000,9436.000000,Neutral
Gyro,0.02,-27.946302,-22.901575,-11.193535,Neutral
Accel,0.02,-4587.000000,-2557.000000,9256.000000,Neutral
Gyro,0.02,-27.855728,-22.960361,-11.248536,Neutral
Accel,0.02,-4416.000000,-2599.000000,9411.000000,Neutral
Gyro,0.02,-27.809048,-23.054358,-11.339280,Neutral
Accel,0.02,-4404.000000,-2901.000000,9503.000000,Neutral
Gyro,0.02,-27.733232,-23.123882,-11.372134,Neutral
Accel,0.02,-4631.000000,-2908.000000,9325.000000,Neutral
Gyro,0.02,-27.670839,-23.186796,-11.394560,Neutral
Accel,0.02,-4519.000000,-2756.000000,9340.000000,Neutral
Gyro,0.02,-27.531494,-23.211758,-11.427249,Neutral
Accel,0.02,-4247.000000,-2343.000000,9212.000000,Neutral
Gyro,0.02,-27.402630,-23.233950,-11.506385,Neutral
Accel,0.02,-4352.000000,-2104.000000,9099.000000,Neutral
Gyro,0.02,-27.217873,-23.243313,-11.584854,Neutral
Accel,0.02,-4304.000000,-2354.000000,9173.000000,Neutral
Gyro,0.02,-27.117739,-23.229645,-11.654510,Neutral
Accel,0.02,-4279.000000,-2549.000000,9257.000000,Neutral
Gyro,0.02,-27.025288,-23.231558,-11.666297,Neutral
Accel,0.02,-4232.000000,-2868.000000,9252.000000,Neutral
Gyro,0.02,-26.962658,-23.261896,-11.713504,Neutral
Accel,0.02,-4250.000000,-2696.000000,9340.000000,Neutral
Gyro,0.02,-26.812433,-23.280909,-11.800167,Neutral
Accel,0.02,-4102.000000,-2384.000000,9289.000000,Neutral
Gyro,0.02,-26.648932,-23.277800,-12.118169,Neutral
Accel,0.02,-4011.000000,-1913.000000,9265.000000,Neutral
Gyro,0.02,-26.407560,-23.248417,-12.339037,Neutral
Accel,0.02,-3977.000000,-2022.000000,9214.000000,Neutral
Gyro,0.02,-26.281267,-23.156124,-12.497334,Neutral
Accel,0.02,-4249.000000,-2045.000000,9117.000000,Neutral
Gyro,0.02,-26.212372,-23.073328,-12.483758,Neutral
Accel,0.02,-4331.000000,-2199.000000,9112.000000,Neutral
Gyro,0.02,-26.203627,-22.979380,-12.476210,Neutral
Accel,0.1016068,-4159.000000,-1912.000000,9094.000000,Neutral
Gyro,0.1016068,-26.155907,-22.959782,-12.488646,Neutral
Accel,0.1016068,-4142.000000,-1779.000000,9111.000000,Neutral
Gyro,0.1016068,-26.131300,-22.954172,-12.452311,Neutral
