Type,Time,x,y,z,Action
Accel,0.0,-4047.0,-2734.0,9528.0,Neutral
Accel,0.0,-4025.0,-2629.0,9596.0,Neutral
Gyro,0.0,-27.38155,-22.442671,-10.757838,Neutral
Accel,0.02,-4109.0,-2577.0,9557.0,Neutral
Gyro,0.02,-27.386312,-22.429955,-10.757307,Neutral
Accel,0.02,-4076.0,-2579.0,9580.0,Neutral
Gyro,0.02,-27.420185,-22.418081,-10.765625,Neutral
Accel,0.02,-4178.0,-2898.0,9639.0,Neutral
Gyro,0.02,-27.44957,-22.403618,-10.77664,Neutral
Accel,0.02,-4064.0,-2769.0,9549.0,Neutral
Gyro,0.02,-27.488388,-22.393219,-10.778679,Neutral
Accel,0.02,-4067.0,-2701.0,9491.0,Neutral
Gyro,0.02,-27.508591,-22.368122,-10.805309,Neutral
Accel,0.02,-4173.0,-2817.0,9452.0,Neutral
Gyro,0.02,-27.518866,-22.338854,-10.859779,Neutral
Accel,0.02,-4013.0,-2622.0,9548.0,Neutral
Gyro,0.02,-27.535707,-22.321861,-10.875127,Neutral
Accel,0.02,-4131.0,-2549.0,9602.0,Neutral
Gyro,0.02,-27.539814,-22.316696,-10.911366,Neutral
Accel,0.02,-4191.0,-2550.0,9723.0,Neutral
Gyro,0.02,-27.580297,-22.299337,-10.928281,Neutral
Accel,0.02,-4081.0,-2784.0,9474.0,Neutral
Gyro,0.02,-27.614624,-22.290813,-10.929195,Neutral
Accel,0.02,-4136.0,-2639.0,9526.0,Neutral
Gyro,0.02,-27.653011,-22.281918,-10.931681,Neutral
Accel,0.02,-4143.0,-2401.0,9698.0,Neutral
Gyro,0.02,-27.680561,-22.255676,-10.951105,Neutral
Accel,0.02,-4115.0,-2859.0,9645.0,Neutral
Gyro,0.02,-27.773611,-22.231895,-10.955854,Neutral
Accel,0.02,-4185.0,-3210.0,9742.0,Neutral
Gyro,0.02,-27.842308,-22.226433,-10.932166,Neutral
Accel,0.02,-4173.0,-2990.0,9570.0,Neutral
Gyro,0.02,-27.869066,-22.200857,-10.936599,Neutral
Accel,0.02,-4125.0,-2579.0,9387.0,Neutral
Gyro,0.02,-27.854929,-22.127428,-11.049526,Neutral
Accel,0.02,-4091.0,-2052.0,9377.0,Neutral
Gyro,0.02,-27.82229,-22.050999,-11.139012,Neutral
Accel,0.02,-4062.0,-2174.0,9235.0,Neutral
Gyro,0.02,-27.841852,-21.964914,-11.18761,Neutral
Accel,0.02,-4274.0,-2687.0,9373.0,Neutral
Gyro,0.02,-27.910255,-21.927387,-11.196686,Neutral
Accel,0.02,-4396.0,-2927.0,9474.0,Neutral
Gyro,0.02,-27.94569,-21.911001,-11.209193,Neutral
Accel,0.02,-4317.0,-2907.0,9625.0,Neutral
Gyro,0.02,-27.945353,-21.912643,-11.232224,Neutral
Accel,0.02,-4256.0,-2635.0,9618.0,Neutral
Gyro,0.02,-27.902594,-21.918652,-11.263169,Neutral
Accel,0.02,-4449.0,-2496.0,9582.0,Neutral
Gyro,0.02,-27.872038,-21.897375,-11.295774,Neutral
Accel,0.02,-4388.0,-2559.0,9464.0,Neutral
Gyro,0.02,-27.853052,-21.837967,-11.333713,Neutral
Accel,0.02,-4307.0,-2331.0,9289.0,Neutral
