x,y,z,yaw,pitch,roll,action
-4840.0,-2746.0,9162.0,-27.739828,-22.535835,-10.56748,Neutral
-4817.0,-2760.0,9093.0,-27.796371,-22.52738,-10.535823,Neutral
-4834.0,-2666.0,9373.0,-27.908197,-22.508665,-10.543845,Neutral
-4750.0,-2786.0,9269.0,-27.980162,-22.506493,-10.607044,Neutral
-4760.0,-3110.0,9307.0,-28.089878,-22.515383,-10.606551,Neutral
-4666.0,-3091.0,9328.0,-28.117445,-22.503323,-10.611589,Neutral
-4780.0,-2889.0,9273.0,-28.108393,-22.47776,-10.646829,Neutral
-4837.0,-2815.0,9214.0,-28.110813,-22.39142,-10.714741,Neutral
-4797.0,-2780.0,9329.0,-28.101528,-22.359007,-10.76489,Neutral
-4969.0,-2795.0,9148.0,-28.098619,-22.322269,-10.801682,Neutral
-5044.0,-2792.0,9171.0,-28.075575,-22.297909,-10.821626,Neutral
-5011.0,-2777.0,9219.0,-28.040594,-22.29788,-10.840452,Neutral
-4831.0,-2313.0,9177.0,-27.977625,-22.30913,-10.84715,Neutral
-4959.0,-2349.0,9061.0,-27.949707,-22.321856,-10.849164,Neutral
-4962.0,-2636.0,9212.0,-27.949646,-22.332378,-10.852352,Neutral
-4999.0,-2843.0,9329.0,-27.98934,-22.391077,-10.829267,Neutral
-4977.0,-2884.0,9271.0,-28.018799,-22.435745,-10.815688,Neutral
-4808.0,-2811.0,9185.0,-28.005772,-22.501677,-10.848133,Neutral
-4789.0,-2515.0,9260.0,-27.986235,-22.549431,-10.890427,Neutral
-4770.0,-2564.0,9164.0,-27.977448,-22.592545,-10.950244,Neutral
-4603.0,-2644.0,9132.0,-27.988037,-22.625938,-10.986444,Neutral
-4719.0,-2786.0,9367.0,-27.994356,-22.731312,-11.062445,Neutral
-4740.0,-3036.0,9238.0,-27.99304,-22.795828,-11.106792,Neutral
-4602.0,-2834.0,9436.0,-27.946302,-22.901575,-11.193535,Neutral
-4587.0,-2557.0,9256.0,-27.855728,-22.960361,-11.248536,Neutral
-4416.0,-2599.0,9411.0,-27.809048,-23.054358,-11.33928,Neutral
