x,y,z,yaw,pitch,roll,action
-2410.0,-1892.0,5079.0,171.836624,-22.835691,-12.606664,Neutral
-2246.0,-1467.0,4962.0,171.816635,-22.878328,-12.577447,Neutral
-2114.0,-1464.0,4942.0,171.759811,-22.900866,-12.543255,Neutral
-2163.0,-1607.0,5082.0,171.694611,-22.927555,-12.462927,Neutral
-2196.0,-1863.0,4966.0,171.560486,-22.955702,-12.42772,Neutral
-2301.0,-2203.0,5163.0,171.447052,-23.03179,-12.395619,Neutral
-2406.0,-2318.0,5277.0,171.319229,-23.100389,-12.383552,Neutral
-2434.0,-2226.0,5324.0,171.262466,-23.18343,-12.391954,Neutral
-2367.0,-2209.0,5455.0,171.190399,-23.238285,-12.406116,Neutral
-2399.0,-2174.0,5284.0,171.146393,-23.316313,-12.402916,Neutral
-2433.0,-1929.0,5280.0,171.072174,-23.368862,-12.388115,Neutral
-2378.0,-1764.0,5342.0,171.032013,-23.439178,-12.360254,Neutral
-2442.0,-1390.0,5217.0,170.966995,-23.47127,-12.345531,Neutral
-2437.0,-1704.0,5059.0,170.8918,-23.51269,-12.294743,Neutral
-2406.0,-1895.0,5189.0,170.733734,-23.561607,-12.249667,Neutral
-2381.0,-1909.0,5287.0,170.637589,-23.640888,-12.219697,Neutral
-2187.0,-2291.0,5456.0,170.512085,-23.714516,-12.187317,Neutral
-2182.0,-2603.0,5417.0,170.430481,-23.809761,-12.086301,Neutral
-2332.0,-2858.0,5455.0,170.321182,-23.84553,-12.046761,Neutral
-2129.0,-2726.0,5235.0,170.314789,-23.843277,-12.069968,Neutral
-2016.0,-2392.0,5107.0,170.39212,-23.823715,-12.08357,Neutral
-2008.0,-2061.0,4974.0,170.458679,-23.758776,-12.08912,Neutral
-2033.0,-1857.0,5009.0,170.580338,-23.711119,-12.101711,Neutral
-2107.0,-1705.0,5023.0,170.660767,-23.648861,-12.109086,Neutral
-2019.0,-1915.0,5191.0,170.752563,-23.62682,-12.102047,Neutral
-2254.0,-2322.0,5278.0,170.785339,-23.63175,-12.129848,Neutral
-2455.0,-2614.0,5177.0,170.830566,-23.642061,-12.145023,Neutral
-2463.0,-2568.0,5007.0,170.880142,-23.665726,-12.202709,Neutral
-2509.0,-2109.0,5213.0,171.002228,-23.688757,-12.276888,Neutral
-2573.0,-1657.0,5338.0,171.089676,-23.705812,-12.413898,Neutral
-2520.0,-1388.0,5121.0,171.184875,-23.717285,-12.456638,Neutral
-2529.0,-1557.0,5255.0,171.181168,-23.735273,-12.454755,Neutral
-2600.0,-1851.0,5137.0,171.111618,-23.762461,-12.447163,Neutral
-2506.0,-2026.0,5282.0,171.034851,-23.798349,-12.465578,Neutral
-2359.0,-2102.0,5334.0,170.940445,-23.841717,-12.474887,Neutral
-2226.0,-2174.0,5341.0,170.881592,-23.88706,-12.457036,Neutral
-2104.0,-1990.0,5252.0,170.814987,-23.899399,-12.436758,Neutral
-2118.0,-1947.0,5392.0,170.763519,-23.886875,-12.445631,Neutral
-2191.0,-2038.0,5177.0,170.694382,-23.856497,-12.463756,Neutral
-2238.0,-2065.0,5117.0,170.652496,-23.809269,-12.478083,Neutral
-2068.0,-1905.0,5205.0,170.63501,-23.792717,-12.51495,Neutral
-2155.0,-1918.0,5176.0,170.630463,-23.795313,-12.566181,Neutral
-2337.0,-2046.0,5308.0,170.609863,-23.789146,-12.55722,Neutral
-2325.0,-1819.0,5530.0,170.597992,-23.797544,-12.576278,Neutral
-2428.0,-1534.0,5423.0,170.604736,-23.798439,-12.596993,Neutral
-2472.0,-1429.0,5592.0,170.582581,-23.776825,-12.542791,Neutral
-2701.0,-1303.0,5344.0,170.496307,-23.772551,-12.506757,Neutral
-2880.0,-1503.0,5343.0,170.393845,-23.759439,-12.455809,Neutral
-2858.0,-1461.0,5304.0,170.21669,-23.784315,-12.380461,Neutral
-2791.0,-1624.0,5130.0,170.043716,-23.842785,-12.266337,Neutral
-2850.0,-1700.0,4716.0,169.764282,-23.88167,-12.230667,Neutral
-2880.0,-1430.0,4636.0,169.556168,-23.904791,-12.218278,Neutral
-2843.0,-1526.0,4345.0,169.158524,-23.948147,-12.206394,Neutral
-2784.0,-1442.0,4302.0,168.776276,-24.092821,-12.063019,Neutral
-2290.0,-1899.0,3381.0,168.10585,-24.222395,-12.007356,Neutral
-2192.0,-1070.0,3001.0,167.669525,-24.39805,-11.959862,Neutral
-1406.0,-2091.0,2164.0,167.108353,-24.460852,-11.983358,Neutral
-1017.0,-4479.0,1427.0,166.761734,-24.446836,-11.317592,Neutral
-604.0,-8612.0,1337.0,166.285873,-24.427689,-10.707897,Neutral
-745.0,-10064.0,1230.0,166.065338,-24.409845,-10.783826,Neutral
-775.0,-8864.0,1448.0,166.018661,-24.281582,-11.651419,Neutral
-1458.0,-7011.0,1617.0,166.288803,-23.968699,-13.513001,Neutral
-1884.0,-2274.0,2690.0,167.067719,-23.795277,-14.69979,Neutral
-2052.0,872.0,3612.0,167.840042,-23.762436,-16.087189,Neutral
-2186.0,4368.0,5404.0,169.304184,-23.885025,-16.491522,Neutral
-2792.0,6786.0,6552.0,170.416306,-24.107632,-16.40103,Neutral
-3158.0,9018.0,7837.0,172.252884,-24.162584,-15.969445,Neutral
-3562.0,9137.0,8480.0,173.576691,-24.083042,-14.771417,Neutral
-3282.0,6810.0,9633.0,175.567871,-23.875748,-13.746242,Neutral
-2663.0,5007.0,10220.0,176.81955,-23.409119,-12.481615,Neutral
-2428.0,639.0,10734.0,178.409348,-22.91851,-12.156596,Neutral
-4291.0,-10450.0,10085.0,178.450348,-21.898581,-12.581131,Neutral
-11038.0,-17278.0,7495.0,175.506485,-21.265432,-13.731212,Neutral
-11672.0,-15454.0,7379.0,173.375748,-20.902771,-15.830735,Neutral
-8265.0,-10545.0,7890.0,171.207764,-21.366226,-16.488461,Neutral
-5344.0,-6256.0,8499.0,169.992752,-22.734381,-15.718401,Neutral
-3278.0,-1292.0,8802.0,168.293549,-23.722992,-14.161024,Neutral
-1899.0,769.0,8362.0,167.123337,-24.908907,-11.071321,Neutral
-877.0,2075.0,7643.0,165.468994,-25.394133,-8.766725,Neutral
-123.0,2922.0,6695.0,164.413177,-25.496838,-5.358004,Neutral
82.0,4385.0,6104.0,163.206009,-25.317554,-3.444751,Neutral
