x,y,z,yaw,pitch,roll,action
-4089.0,-2778.0,8283.0,-22.744741,-29.167953,-14.350415,Neutral
-4160.0,-4702.0,9076.0,-22.214367,-29.507803,-14.449371,Neutral
-3488.0,-4426.0,9244.0,-21.700871,-30.09816,-14.559668,Neutral
-2471.0,-2961.0,9435.0,-20.676851,-30.450537,-14.56818,Neutral
-2028.0,-2147.0,9420.0,-19.908825,-30.768654,-14.526207,Neutral
-1576.0,-855.0,9361.0,-18.797491,-30.825012,-14.509537,Neutral
-1393.0,-185.0,9218.0,-18.094744,-30.740164,-14.493062,Neutral
-932.0,671.0,9115.0,-17.150583,-30.622303,-14.438567,Neutral
-870.0,969.0,9097.0,-16.664053,-30.372322,-14.258832,Neutral
-675.0,955.0,9169.0,-16.233629,-30.191563,-14.084496,Neutral
-457.0,760.0,9105.0,-16.131687,-29.914553,-13.712539,Neutral
-647.0,142.0,9178.0,-16.285038,-29.733072,-13.440706,Neutral
-897.0,-793.0,9066.0,-16.563663,-29.492733,-13.07778,Neutral
-1774.0,-2932.0,9239.0,-17.21666,-29.349915,-12.839343,Neutral
-1956.0,-4297.0,9187.0,-17.755814,-29.163086,-12.540298,Neutral
-2240.0,-5116.0,8995.0,-18.373411,-29.037066,-12.374791,Neutral
-2029.0,-4474.0,8970.0,-18.593309,-28.785437,-12.278629,Neutral
-1590.0,-3331.0,8621.0,-18.650805,-28.563625,-12.314568,Neutral
-1800.0,-2730.0,8450.0,-18.59494,-28.166218,-12.295151,Neutral
-1856.0,-1926.0,8387.0,-18.506079,-27.843384,-12.250073,Neutral
-1965.0,-1616.0,8309.0,-18.445772,-27.391319,-12.198155,Neutral
-2273.0,-1417.0,8488.0,-18.393436,-27.115152,-12.13969,Neutral
-2402.0,-1262.0,8768.0,-18.405191,-26.755766,-12.064814,Neutral
-2556.0,-1143.0,9006.0,-18.517677,-26.566315,-12.029993,Neutral
-3640.0,-1888.0,9098.0,-18.737513,-26.286379,-12.005278,Neutral
-4049.0,-3275.0,8778.0,-19.334143,-26.128531,-12.042394,Neutral
-4091.0,-4284.0,8110.0,-19.693155,-25.910051,-12.120128,Neutral
-3968.0,-4090.0,7569.0,-20.008356,-25.686966,-12.230936,Neutral
-3822.0,-3401.0,7071.0,-20.097048,-25.214064,-12.6111,Neutral
-3769.0,-2160.0,6720.0,-20.158657,-24.88097,-12.921624,Neutral
-3742.0,-1663.0,6715.0,-20.196259,-24.468967,-13.295198,Neutral
-3585.0,-1668.0,6959.0,-20.275608,-24.331001,-13.320768,Neutral
-3427.0,-1523.0,7312.0,-20.353956,-24.323267,-13.054059,Neutral
-3352.0,-1005.0,7813.0,-20.505001,-24.374329,-12.832355,Neutral
-3854.0,-1732.0,8069.0,-20.690752,-24.48035,-12.444325,Neutral
-4068.0,-3104.0,8235.0,-21.01968,-24.579941,-12.165348,Neutral
-3830.0,-3522.0,8459.0,-21.200129,-24.76721,-11.890552,Neutral
-3866.0,-3697.0,8430.0,-21.313988,-24.822683,-11.871721,Neutral
-3886.0,-3478.0,8303.0,-21.314259,-24.736712,-11.975015,Neutral
