Type,Time,x,y,z,Action
Accel,0,-2410.000000,-1892.000000,5079.000000,Neutral
Gyro,0,171.836624,-22.835691,-12.606664,Neutral
Accel,0.02,-2246.000000,-1467.000000,4962.000000,Neutral
Gyro,0.02,171.816635,-22.878328,-12.577447,Neutral
Accel,0.02,-2114.000000,-1464.000000,4942.000000,Neutral
Gyro,0.02,171.759811,-22.900866,-12.543255,Neutral
Accel,0.02,-2163.000000,-1607.000000,5082.000000,Neutral
Gyro,0.02,171.694611,-22.927555,-12.462927,Neutral
Accel,0.02,-2196.000000,-1863.000000,4966.000000,Neutral
Gyro,0.02,171.560486,-22.955702,-12.427720,Neutral
Accel,0.02,-2301.000000,-2203.000000,5163.000000,Neutral
Gyro,0.02,171.447052,-23.031790,-12.395619,Neutral
Accel,0.02,-2406.000000,-2318.000000,5277.000000,Neutral
Gyro,0.02,171.319229,-23.100389,-12.383552,Neutral
Accel,0.02,-2434.000000,-2226.000000,5324.000000,Neutral
Gyro,0.02,171.262466,-23.183430,-12.391954,Neutral
Accel,0.02,-2367.000000,-2209.000000,5455.000000,Neutral
Gyro,0.02,171.190399,-23.238285,-12.406116,Neutral
Accel,0.02,-2399.000000,-2174.000000,5284.000000,Neutral
Gyro,0.02,171.146393,-23.316313,-12.402916,Neutral
Accel,0.02,-2433.000000,-1929.000000,5280.000000,Neutral
Gyro,0.02,171.072174,-23.368862,-12.388115,Neutral
Accel,0.02,-2378.000000,-1764.000000,5342.000000,Neutral
Gyro,0.02,171.032013,-23.439178,-12.360254,Neutral
Accel,0.02,-2442.000000,-1390.000000,5217.000000,Neutral
Gyro,0.02,170.966995,-23.471270,-12.345531,Neutral
Accel,0.02,-2437.000000,-1704.000000,5059.000000,Neutral
Gyro,0.02,170.891800,-23.512690,-12.294743,Neutral
Accel,0.02,-2406.000000,-1895.000000,5189.000000,Neutral
Gyro,0.02,170.733734,-23.561607,-12.249667,Neutral
Accel,0.02,-2381.000000,-1909.000000,5287.000000,Neutral
Gyro,0.02,170.637589,-23.640888,-12.219697,Neutral
Accel,0.02,-2187.000000,-2291.000000,5456.000000,Neutral
Gyro,0.02,170.512085,-23.714516,-12.187317,Neutral
Accel,0.02,-2182.000000,-2603.000000,5417.000000,Neutral
Gyro,0.02,170.430481,-23.809761,-12.086301,Neutral
Accel,0.02,-2332.000000,-2858.000000,5455.000000,Neutral
Gyro,0.02,170.321182,-23.845530,-12.046761,Neutral
Accel,0.02,-2129.000000,-2726.000000,5235.000000,Neutral
Gyro,0.02,170.314789,-23.843277,-12.069968,Neutral
Accel,0.02,-2016.000000,-2392.000000,5107.000000,Neutral
Gyro,0.02,170.392120,-23.823715,-12.083570,Neutral
Accel,0.02,-2008.000000,-2061.000000,4974.000000,Neutral
Gyro,0.02,170.458679,-23.758776,-12.089120,Neutral
Accel,0.02,-2033.000000,-1857.000000,5009.000000,Neutral
Gyro,0.02,170.580338,-23.711119,-12.101711,Neutral
Accel,0.02,-2107.000000,-1705.000000,5023.000000,Neutral
Gyro,0.02,170.660767,-23.648861,-12.109086,Neutral
Accel,0.02,-2019.000000,-1915.000000,5191.000000,Neutral
Gyro,0.02,170.752563,-23.626820,-12.102047,Neutral
Accel,0.02,-2254.000000,-2322.000000,5278.000000,Neutral
Gyro,0.02,170.785339,-23.631750,-12.129848,Neutral
Accel,0.02,-2455.000000,-2614.000000,5177.000000,Neutral
Gyro,0.02,170.830566,-23.642061,-12.145023,Neutral
Accel,0.02,-2463.000000,-2568.000000,5007.000000,Neutral
Gyro,0.02,170.880142,-23.665726,-12.202709,Neutral
Accel,0.02,-2509.000000,-2109.000000,5213.000000,Neutral
Gyro,0.02,171.002228,-23.688757,-12.276888,Neutral
Accel,0.02,-2573.000000,-1657.000000,5338.000000,Neutral
Gyro,0.02,171.089676,-23.705812,-12.413898,Neutral
Accel,0.02,-2520.000000,-1388.000000,5121.000000,Neutral
Gyro,0.02,171.184875,-23.717285,-12.456638,Neutral
Accel,0.02,-2529.000000,-1557.000000,5255.000000,Neutral
Gyro,0.02,171.181168,-23.735273,-12.454755,Neutral
Accel,0.02,-2600.000000,-1851.000000,5137.000000,Neutral
Gyro,0.02,171.111618,-23.762461,-12.447163,Neutral
Accel,0.02,-2506.000000,-2026.000000,5282.000000,Neutral
Gyro,0.02,171.034851,-23.798349,-12.465578,Neutral
Accel,0.02,-2359.000000,-2102.000000,5334.000000,Neutral
Gyro,0.02,170.940445,-23.841717,-12.474887,Neutral
Accel,0.02,-2226.000000,-2174.000000,5341.000000,Neutral
Gyro,0.02,170.881592,-23.887060,-12.457036,Neutral
