Type,Time,x,y,z,Action
Accel,0,-4089.000000,-2778.000000,8283.000000,Neutral
Gyro,0,-22.744741,-29.167953,-14.350415,Neutral
Accel,0.02,-4160.000000,-4702.000000,9076.000000,Neutral
Gyro,0.02,-22.214367,-29.507803,-14.449371,Neutral
Accel,0.02,-3488.000000,-4426.000000,9244.000000,Neutral
Gyro,0.02,-21.700871,-30.098160,-14.559668,Neutral
Accel,0.02,-2471.000000,-2961.000000,9435.000000,Neutral
Gyro,0.02,-20.676851,-30.450537,-14.568180,Neutral
Accel,0.02,-2028.000000,-2147.000000,9420.000000,Neutral
Gyro,0.02,-19.908825,-30.768654,-14.526207,Neutral
Accel,0.02,-1576.000000,-855.000000,9361.000000,Neutral
Gyro,0.02,-18.797491,-30.825012,-14.509537,Neutral
Accel,0.02,-1393.000000,-185.000000,9218.000000,Neutral
Gyro,0.02,-18.094744,-30.740164,-14.493062,Neutral
Accel,0.02,-932.000000,671.000000,9115.000000,Neutral
Gyro,0.02,-17.150583,-30.622303,-14.438567,Neutral
Accel,0.02,-870.000000,969.000000,9097.000000,Neutral
Gyro,0.02,-16.664053,-30.372322,-14.258832,Neutral
Accel,0.02,-675.000000,955.000000,9169.000000,Neutral
Gyro,0.02,-16.233629,-30.191563,-14.084496,Neutral
Accel,0.02,-457.000000,760.000000,9105.000000,Neutral
Gyro,0.02,-16.131687,-29.914553,-13.712539,Neutral
Accel,0.02,-647.000000,142.000000,9178.000000,Neutral
Gyro,0.02,-16.285038,-29.733072,-13.440706,Neutral
Accel,0.02,-897.000000,-793.000000,9066.000000,Neutral
Gyro,0.02,-16.563663,-29.492733,-13.077780,Neutral
Accel,0.02,-1774.000000,-2932.000000,9239.000000,Neutral
Gyro,0.02,-17.216660,-29.349915,-12.839343,Neutral
Accel,0.02,-1956.000000,-4297.000000,9187.000000,Neutral
Gyro,0.02,-17.755814,-29.163086,-12.540298,Neutral
Accel,0.02,-2240.000000,-5116.000000,8995.000000,Neutral
Gyro,0.02,-18.373411,-29.037066,-12.374791,Neutral
Accel,0.02,-2029.000000,-4474.000000,8970.000000,Neutral
Gyro,0.02,-18.593309,-28.785437,-12.278629,Neutral
Accel,0.02,-1590.000000,-3331.000000,8621.000000,Neutral
Gyro,0.02,-18.650805,-28.563625,-12.314568,Neutral
Accel,0.02,-1800.000000,-2730.000000,8450.000000,Neutral
Gyro,0.02,-18.594940,-28.166218,-12.295151,Neutral
Accel,0.02,-1856.000000,-1926.000000,8387.000000,Neutral
Gyro,0.02,-18.506079,-27.843384,-12.250073,Neutral
Accel,0.02,-1965.000000,-1616.000000,8309.000000,Neutral
Gyro,0.02,-18.445772,-27.391319,-12.198155,Neutral
Accel,0.02,-2273.000000,-1417.000000,8488.000000,Neutral
