Type,Time,x,y,z,Action
Accel,0,-154.000000,-971.000000,1860.000000,Neutral
Gyro,0,-100.908485,-35.202881,-10.080126,Neutral
Accel,0.02,-88.000000,-1010.000000,1662.000000,Neutral
Gyro,0.02,-100.870293,-35.133350,-10.118831,Neutral
Accel,0.02,-124.000000,-965.000000,1643.000000,Neutral
Gyro,0.02,-100.849998,-35.029125,-10.177292,Neutral
Accel,0.02,-19.000000,-794.000000,1627.000000,Neutral
Gyro,0.02,-100.840958,-34.973713,-10.219431,Neutral
Accel,0.02,-144.000000,-941.000000,1543.000000,Neutral
Gyro,0.02,-100.843803,-34.900551,-10.241450,Neutral
Accel,0.02,-61.000000,-1200.000000,1406.000000,Neutral
Gyro,0.02,-100.886810,-34.861797,-10.228521,Neutral
Accel,0.02,-40.000000,-1128.000000,1532.000000,Neutral
Gyro,0.02,-100.918938,-34.819035,-10.223118,Neutral
Accel,0.02,-32.000000,-1335.000000,1693.000000,Neutral
Gyro,0.02,-100.957649,-34.789703,-10.243931,Neutral
Accel,0.02,17.000000,-1188.000000,1810.000000,Neutral
Gyro,0.02,-100.950348,-34.761856,-10.233605,Neutral
Accel,0.02,33.000000,-1123.000000,1838.000000,Neutral
Gyro,0.02,-100.907455,-34.748463,-10.255820,Neutral
Accel,0.02,-72.000000,-1172.000000,1852.000000,Neutral
Gyro,0.02,-100.881592,-34.720654,-10.298615,Neutral
Accel,0.02,-296.000000,-1105.000000,1721.000000,Neutral
Gyro,0.02,-100.813545,-34.693035,-10.317041,Neutral
Accel,0.02,-416.000000,-1129.000000,1726.000000,Neutral
Gyro,0.02,-100.709381,-34.669147,-10.366715,Neutral
Accel,0.02,73.000000,-1134.000000,1717.000000,Neutral
Gyro,0.02,-100.465515,-34.705673,-10.393489,Neutral
Accel,0.02,159.000000,-782.000000,1871.000000,Neutral
Gyro,0.02,-100.327576,-34.860867,-10.423566,Neutral
Accel,0.02,57.000000,-890.000000,1819.000000,Neutral
Gyro,0.02,-100.226265,-34.912796,-10.401992,Neutral
Accel,0.02,74.000000,-865.000000,1795.000000,Neutral
Gyro,0.02,-100.198402,-34.901417,-10.342744,Neutral
Accel,0.02,-20.000000,-1111.000000,1722.000000,Neutral
Gyro,0.02,-100.217484,-34.874821,-10.333540,Neutral
Accel,0.02,44.000000,-1130.000000,1715.000000,Neutral
Gyro,0.02,-100.224869,-34.825344,-10.303882,Neutral
Accel,0.02,91.000000,-1057.000000,1800.000000,Neutral
Gyro,0.02,-100.252792,-34.807720,-10.278143,Neutral
Accel,0.02,111.000000,-1105.000000,1727.000000,Neutral
Gyro,0.02,-100.286491,-34.764336,-10.240886,Neutral
Accel,0.02,167.000000,-1241.000000,1583.000000,Neutral
Gyro,0.02,-100.342987,-34.729729,-10.226595,Neutral
Accel,0.02,92.000000,-1262.000000,1608.000000,Neutral
Gyro,0.02,-100.374336,-34.673805,-10.224336,Neutral
Accel,0.02,121.000000,-1239.000000,1725.000000,Neutral
Gyro,0.02,-100.400261,-34.653034,-10.232686,Neutral
Accel,0.02,88.000000,-1211.000000,1807.000000,Neutral
Gyro,0.02,-100.408730,-34.629765,-10.231150,Neutral
Accel,0.02,65.000000,-959.000000,1928.000000,Neutral
Gyro,0.02,-100.417191,-34.609764,-10.230782,Neutral
Accel,0.02,-5.000000,-1085.000000,1947.000000,Neutral
Gyro,0.02,-100.426041,-34.579884,-10.240561,Neutral
Accel,0.02,-35.000000,-1010.000000,1833.000000,Neutral
Gyro,0.02,-100.446815,-34.565441,-10.236198,Neutral
Accel,0.02,-155.000000,-876.000000,1865.000000,Neutral
Gyro,0.02,-100.463341,-34.524704,-10.224092,Neutral
Accel,0.02,-177.000000,-1038.000000,1861.000000,Neutral
Gyro,0.02,-100.494942,-34.489025,-10.217252,Neutral
Accel,0.02,-206.000000,-1020.000000,1759.000000,Neutral
Gyro,0.02,-100.514992,-34.465355,-10.165613,Neutral
Accel,0.02,-241.000000,-1124.000000,1693.000000,Neutral
Gyro,0.02,-100.555817,-34.453770,-10.137995,Neutral
Accel,0.02,-276.000000,-1097.000000,1700.000000,Neutral
Gyro,0.02,-100.594048,-34.421940,-10.095075,Neutral
Accel,0.02,-92.000000,-1222.000000,1459.000000,Neutral
Gyro,0.02,-100.644226,-34.408272,-10.068514,Neutral
Accel,0.02,-142.000000,-1225.000000,1422.000000,Neutral
Gyro,0.02,-100.673615,-34.398647,-10.020829,Neutral
Accel,0.02,-46.000000,-1354.000000,1339.000000,Neutral
Gyro,0.02,-100.717484,-34.399403,-9.998598,Neutral
Accel,0.02,-45.000000,-1312.000000,1513.000000,Neutral
Gyro,0.02,-100.736275,-34.419365,-9.985402,Neutral
